,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.21,0.0
Normalized EBITDA,-676318.0,-80806.0
Net Income From Continuing Operation Net Minority Interest,2904174.0,-42578.0
EBITDA,-676318.0,-80806.0
EBIT,-676318.0,-80806.0
Net Interest Income,3580492.0,38228.0
Interest Income,3580492.0,38228.0
Normalized Income,2904174.0,-42578.0
Net Income From Continuing And Discontinued Operation,2904174.0,-42578.0
Total Expenses,676318.0,80806.0
Total Operating Income As Reported,-676318.0,-80806.0
Diluted Average Shares,2280500.0,1862261.0
Basic Average Shares,2280500.0,1862261.0
Diluted EPS,0.45,-0.16
Basic EPS,0.45,-0.16
Diluted NI Availto Com Stockholders,2904174.0,-42578.0
Net Income Common Stockholders,2904174.0,-42578.0
Net Income,2904174.0,-42578.0
Net Income Including Noncontrolling Interests,2904174.0,-42578.0
Net Income Continuous Operations,2904174.0,-42578.0
Pretax Income,2904174.0,-42578.0
Net Non Operating Interest Income Expense,3580492.0,38228.0
Interest Income Non Operating,3580492.0,38228.0
Operating Income,-676318.0,-80806.0
Operating Expense,676318.0,80806.0
Other Operating Expenses,676318.0,80806.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
