,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,114099537.0,113453598.0,111658875.0,109960656.0,
Ordinary Shares Number,51386688.0,51508500.0,52707261.0,53628270.0,
Share Issued,165486225.0,164962098.0,164366136.0,163588926.0,
Total Debt,31397000.0,33760000.0,43140000.0,54663000.0,
Tangible Book Value,210012000.0,164118000.0,173912000.0,181484000.0,
Invested Capital,247647000.0,202176000.0,212395000.0,220402000.0,
Working Capital,117732000.0,75883000.0,93624000.0,106481000.0,
Net Tangible Assets,210012000.0,164118000.0,173912000.0,181484000.0,
Capital Lease Obligations,31397000.0,33760000.0,43140000.0,54663000.0,
Common Stock Equity,247647000.0,202176000.0,212395000.0,220402000.0,
Total Capitalization,247647000.0,202176000.0,212395000.0,220402000.0,
Total Equity Gross Minority Interest,247647000.0,202176000.0,212395000.0,220402000.0,
Stockholders Equity,247647000.0,202176000.0,212395000.0,220402000.0,
Treasury Stock,793905000.0,748195000.0,654520000.0,564435000.0,
Retained Earnings,807920000.0,731668000.0,665303000.0,598893000.0,
Additional Paid In Capital,233629000.0,218700000.0,201609000.0,185941000.0,
Capital Stock,3000.0,3000.0,3000.0,3000.0,
Common Stock,3000.0,3000.0,3000.0,3000.0,
Total Liabilities Net Minority Interest,207032000.0,191747000.0,202851000.0,204358000.0,
Total Non Current Liabilities Net Minority Interest,22533000.0,23860000.0,31481000.0,41898000.0,
Non Current Deferred Liabilities,,0.0,1689000.0,0.0,7764000.0
Non Current Deferred Taxes Liabilities,,0.0,1689000.0,0.0,7764000.0
Long Term Debt And Capital Lease Obligation,22533000.0,23860000.0,29792000.0,41898000.0,
Long Term Capital Lease Obligation,22533000.0,23860000.0,29792000.0,41898000.0,
Current Liabilities,184499000.0,167887000.0,171370000.0,162460000.0,
Other Current Liabilities,,,,,1218000.0
Current Deferred Liabilities,118103000.0,107000000.0,95577000.0,79012000.0,
Current Deferred Revenue,118103000.0,107000000.0,95577000.0,79012000.0,
Current Debt And Capital Lease Obligation,8864000.0,9900000.0,13348000.0,12765000.0,
Current Capital Lease Obligation,8864000.0,9900000.0,13348000.0,12765000.0,
Payables And Accrued Expenses,57532000.0,50987000.0,62445000.0,70683000.0,
Current Accrued Expenses,40901000.0,35678000.0,48014000.0,57109000.0,
Payables,16631000.0,15309000.0,14431000.0,13574000.0,
Total Tax Payable,221000.0,251000.0,351000.0,1221000.0,
Income Tax Payable,221000.0,251000.0,351000.0,1221000.0,
Accounts Payable,16410000.0,15058000.0,14080000.0,12353000.0,
Total Assets,454679000.0,393923000.0,415246000.0,424760000.0,
Total Non Current Assets,152448000.0,150153000.0,150252000.0,155819000.0,
Other Non Current Assets,1318000.0,1380000.0,481000.0,345000.0,
Non Current Deferred Assets,3545000.0,224000.0,0.0,613000.0,
Non Current Deferred Taxes Assets,3545000.0,224000.0,0.0,613000.0,
Goodwill And Other Intangible Assets,37635000.0,38058000.0,38483000.0,38918000.0,
Other Intangible Assets,821000.0,1244000.0,1669000.0,2104000.0,
Goodwill,36814000.0,36814000.0,36814000.0,36814000.0,
Net PPE,109950000.0,110491000.0,111288000.0,115943000.0,
Accumulated Depreciation,-222994000.0,-216954000.0,-207925000.0,-188567000.0,
Gross PPE,332944000.0,327445000.0,319213000.0,304510000.0,
Leases,18010000.0,18295000.0,18582000.0,17562000.0,
Other Properties,24058000.0,27721000.0,35020000.0,45324000.0,
Machinery Furniture Equipment,279753000.0,270348000.0,254530000.0,230543000.0,
Land And Improvements,11123000.0,11081000.0,11081000.0,11081000.0,
Properties,0.0,0.0,0.0,0.0,
Current Assets,302231000.0,243770000.0,264994000.0,268941000.0,
Prepaid Assets,99560000.0,91407000.0,84904000.0,64503000.0,
Receivables,97108000.0,81034000.0,82586000.0,64722000.0,
Receivables Adjustments Allowances,,-2823000.0,-2562000.0,-3274000.0,-5133000.0
Other Receivables,42417000.0,26639000.0,27307000.0,17213000.0,
Taxes Receivable,11418000.0,11385000.0,15123000.0,8006000.0,
Accounts Receivable,54691000.0,54395000.0,55279000.0,47509000.0,
Allowance For Doubtful Accounts Receivable,-4245000.0,-2823000.0,-2562000.0,-3274000.0,
Gross Accounts Receivable,58936000.0,57218000.0,57841000.0,50783000.0,
Cash Cash Equivalents And Short Term Investments,105563000.0,71329000.0,97504000.0,139716000.0,
Cash And Cash Equivalents,105563000.0,71329000.0,97504000.0,139716000.0,
