,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,-2115498.0,-489897.0,-2275601.013444,-3218778.0,
Tax Rate For Calcs,0.241,0.261,0.224219,0.222,
Normalized EBITDA,479340000.0,373282000.0,726277000.0,684174000.0,
Total Unusual Items,-8778000.0,-1877000.0,-10149000.0,-14499000.0,
Total Unusual Items Excluding Goodwill,-8778000.0,-1877000.0,-10149000.0,-14499000.0,
Net Income From Continuing Operation Net Minority Interest,333816000.0,259224000.0,525126000.0,498504000.0,
Reconciled Depreciation,24286000.0,15774000.0,11223000.0,10912000.0,
Reconciled Cost Of Revenue,3435523000.0,2889243000.0,3370269000.0,3167941000.0,
EBITDA,470562000.0,371405000.0,716128000.0,669675000.0,
EBIT,446276000.0,355631000.0,704905000.0,658763000.0,
Normalized Income,340478502.0,260611103.0,532999398.986556,509784222.0,
Net Income From Continuing And Discontinued Operation,333816000.0,259224000.0,525126000.0,498504000.0,
Total Expenses,3952012000.0,3336554000.0,3801011000.0,3557551000.0,
Diluted Average Shares,,32209359.0,32977935.0,34444918.0,33610098.0
Basic Average Shares,,31918942.0,32578967.0,33706782.0,33312554.0
Diluted EPS,,8.05,15.92,14.47,6.13
Basic EPS,,8.12,16.12,14.79,6.19
Diluted NI Availto Com Stockholders,333816000.0,259224000.0,525126000.0,498504000.0,
Net Income Common Stockholders,333816000.0,259224000.0,525126000.0,498504000.0,
Net Income,333816000.0,259224000.0,525126000.0,498504000.0,
Net Income Including Noncontrolling Interests,333816000.0,259224000.0,525126000.0,498504000.0,
Net Income Continuous Operations,333816000.0,259224000.0,525126000.0,498504000.0,
Tax Provision,106244000.0,91606000.0,151774000.0,142618000.0,
Pretax Income,440060000.0,350830000.0,676900000.0,641122000.0,
Other Income Expense,-6216000.0,-4801000.0,-28005000.0,-17641000.0,
Other Non Operating Income Expenses,2562000.0,-2924000.0,-17856000.0,-3142000.0,
Special Income Charges,-8778000.0,-1877000.0,-10149000.0,-14499000.0,
Other Special Charges,,,,14458000.0,
Write Off,8778000.0,1877000.0,10149000.0,41000.0,
Restructuring And Mergern Acquisition,,,,,0.0
Earnings From Equity Interest,,,,,0.0
Operating Income,446276000.0,355631000.0,704905000.0,658763000.0,
Operating Expense,516489000.0,447311000.0,430742000.0,389610000.0,
Selling General And Administration,516489000.0,447311000.0,430742000.0,389610000.0,
Gross Profit,962765000.0,802942000.0,1135647000.0,1048373000.0,
Cost Of Revenue,3435523000.0,2889243000.0,3370269000.0,3167941000.0,
Total Revenue,4398288000.0,3692185000.0,4505916000.0,4216314000.0,
Operating Revenue,4398288000.0,3692185000.0,4505916000.0,4216314000.0,
