,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.4,0.0,0.0,0.27,
Net Income From Continuing Operation Net Minority Interest,24314072.0,-20782910.0,-308721.0,70215490.0,
Net Interest Income,17872917.0,16360891.0,20254939.0,20448906.0,
Interest Expense,4990048.0,3034894.0,997997.0,1310586.0,
Interest Income,22862965.0,19395785.0,21252936.0,21759492.0,
Normalized Income,24314072.0,-20782910.0,-308721.0,70215490.0,
Net Income From Continuing And Discontinued Operation,24314072.0,-20782910.0,-308721.0,70215490.0,
Diluted Average Shares,,71665207.0,72736534.0,72387103.0,72365547.0
Basic Average Shares,,71665207.0,72736534.0,72387103.0,72365547.0
Diluted EPS,,-0.29,0.0,0.97,-0.47
Basic EPS,,-0.29,0.0,0.97,-0.47
Diluted NI Availto Com Stockholders,24314072.0,-20782910.0,-308721.0,70215490.0,
Net Income Common Stockholders,24314072.0,-20782910.0,-308721.0,70215490.0,
Net Income,24314072.0,-20782910.0,-308721.0,70215490.0,
Net Income Including Noncontrolling Interests,24314072.0,-20782910.0,-308721.0,70215490.0,
Net Income Continuous Operations,24314072.0,-20782910.0,-308721.0,70215490.0,
Pretax Income,24314072.0,-20782910.0,-308721.0,70215490.0,
Gain On Sale Of Security,-7365662.0,-33135528.0,7639167.0,-3498712.0,
Operating Expense,459348.0,441051.0,559176.0,470567.0,
Other Operating Expenses,,20546.0,20070.0,17017.0,13082.0
Selling General And Administration,459348.0,441051.0,559176.0,470567.0,
General And Administrative Expense,459348.0,441051.0,559176.0,470567.0,
Total Revenue,24773420.0,-20341859.0,250455.0,70686057.0,
Operating Revenue,24773420.0,-20341859.0,250455.0,70686057.0,
