,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,66226176.0,66210308.0,66210308.0
Share Issued,66226176.0,66210308.0,66210308.0
Net Debt,2524674000.0,2494995000.0,2274284000.0
Total Debt,2793621000.0,2833122000.0,2501366000.0
Tangible Book Value,854909000.0,932197000.0,1122524000.0
Invested Capital,3838440000.0,3960138000.0,3937174000.0
Working Capital,-1169776000.0,-1256443000.0,-1147561000.0
Net Tangible Assets,854909000.0,932197000.0,1122524000.0
Capital Lease Obligations,225502000.0,273075000.0,145485000.0
Common Stock Equity,1270321000.0,1400091000.0,1581293000.0
Total Capitalization,2614473000.0,2678344000.0,2710540000.0
Total Equity Gross Minority Interest,1459178000.0,1649363000.0,1829571000.0
Minority Interest,188857000.0,249272000.0,248278000.0
Stockholders Equity,1270321000.0,1400091000.0,1581293000.0
Gains Losses Not Affecting Retained Earnings,-2425000.0,-2690000.0,-1966000.0
Other Equity Adjustments,-2425000.0,-2690000.0,-1966000.0
Retained Earnings,-1276222000.0,-1138304000.0,-951303000.0
Additional Paid In Capital,2548307000.0,2540424000.0,2533904000.0
Capital Stock,661000.0,661000.0,658000.0
Common Stock,661000.0,661000.0,658000.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,3118755000.0,3137335000.0,2750768000.0
Total Non Current Liabilities Net Minority Interest,1651883000.0,1611710000.0,1336014000.0
Other Non Current Liabilities,82229000.0,60382000.0,61282000.0
Long Term Debt And Capital Lease Obligation,1569654000.0,1551328000.0,1274732000.0
Long Term Capital Lease Obligation,225502000.0,273075000.0,145485000.0
Long Term Debt,1344152000.0,1278253000.0,1129247000.0
Current Liabilities,1466872000.0,1525625000.0,1414754000.0
Current Debt And Capital Lease Obligation,1223967000.0,1281794000.0,1226634000.0
Current Capital Lease Obligation,225502000.0,273075000.0,145485000.0
Current Debt,1223967000.0,1281794000.0,1226634000.0
Line Of Credit,1223967000.0,1281794000.0,1226634000.0
Payables And Accrued Expenses,242905000.0,243831000.0,188120000.0
Payables,242905000.0,243831000.0,188120000.0
Dueto Related Parties Current,,0.0,866000.0
Accounts Payable,242905000.0,243831000.0,187254000.0
Total Assets,4577933000.0,4786698000.0,4580339000.0
Total Non Current Assets,4280837000.0,4517516000.0,4313146000.0
Other Non Current Assets,53225000.0,47890000.0,41762000.0
Non Current Deferred Assets,51370000.0,51201000.0,44842000.0
Investments And Advances,107546000.0,92580000.0,94930000.0
Investmentin Financial Assets,86935000.0,83000000.0,79315000.0
Held To Maturity Securities,86935000.0,83000000.0,79315000.0
Long Term Equity Investment,20611000.0,9580000.0,15615000.0
Investment Properties,3425438000.0,3581609000.0,3514686000.0
Goodwill And Other Intangible Assets,415412000.0,467894000.0,458769000.0
Other Intangible Assets,180470000.0,236283000.0,248871000.0
Goodwill,234942000.0,231611000.0,209898000.0
Net PPE,227846000.0,276342000.0,158157000.0
Gross PPE,227846000.0,276342000.0,158157000.0
Other Properties,227846000.0,276342000.0,158157000.0
Current Assets,297096000.0,269182000.0,267193000.0
Other Current Assets,33204000.0,25866000.0,22484000.0
Hedging Assets Current,1463000.0,0.0,
Restricted Cash,47337000.0,46854000.0,43889000.0
Prepaid Assets,,25866000.0,22484000.0
Inventory,19472000.0,19775000.0,18929000.0
Finished Goods,19472000.0,19775000.0,18929000.0
Receivables,185379000.0,137501000.0,122778000.0
Accounts Receivable,185379000.0,137501000.0,122778000.0
Cash Cash Equivalents And Short Term Investments,43445000.0,65052000.0,81597000.0
Cash And Cash Equivalents,43445000.0,65052000.0,81597000.0
