,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2021-02-28,2020-02-29
Ordinary Shares Number,42529493.0,42529493.0,42529493.0,42529493.0,,
Share Issued,42529493.0,42529493.0,42529493.0,42529493.0,,
Net Debt,77651686.0,48179222.0,169860985.0,52335961.0,,
Total Debt,86000000.0,59471524.0,175500000.0,52335961.0,,
Tangible Book Value,343151069.0,353867263.0,367459211.0,419709890.0,,
Invested Capital,429151069.0,413338787.0,542959211.0,472045851.0,,
Net Tangible Assets,343151069.0,353867263.0,367459211.0,419709890.0,,
Common Stock Equity,343151069.0,353867263.0,367459211.0,419709890.0,,
Total Capitalization,429151069.0,413338787.0,542959211.0,472045851.0,,
Total Equity Gross Minority Interest,343151069.0,353867263.0,367459211.0,419709890.0,,
Stockholders Equity,343151069.0,353867263.0,367459211.0,419709890.0,,
Retained Earnings,-189534230.0,-172516811.0,-185552593.0,-165245290.0,,
Capital Stock,532685299.0,526384074.0,553011804.0,584955180.0,,
Common Stock,532685299.0,526384074.0,553011804.0,584955180.0,,
Total Liabilities Net Minority Interest,364519335.0,296104456.0,181000773.0,64324615.0,,
Derivative Product Liabilities,7625659.0,3268831.0,599053.0,,91000.0,
Long Term Debt And Capital Lease Obligation,86000000.0,59471524.0,175500000.0,52335961.0,,
Payables,25454403.0,24796148.0,3682649.0,11373623.0,,
Other Payable,512606.0,365659.0,266542.0,452538.0,,
Accounts Payable,24941797.0,24430489.0,3416107.0,10921085.0,,
Total Assets,707670404.0,649971719.0,548459984.0,484034505.0,,
Investments And Advances,355630416.0,312693130.0,526548146.0,410571128.0,,
Investmentin Financial Assets,355630416.0,312693130.0,526548146.0,410571128.0,,
Available For Sale Securities,,2249167.0,,,,1129800338.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,347729966.0,298887217.0,526170594.0,410571128.0,,
Prepaid Assets,84173.0,280847.0,60295.0,249036.0,,
Receivables,96630475.0,325705440.0,16212528.0,73212684.0,,
Cash And Cash Equivalents,8348314.0,11292302.0,5639015.0,,8052302.0,
Cash Financial,8348314.0,11292302.0,5639015.0,,8052302.0,
Cash Cash Equivalents And Federal Funds Sold,255325340.0,11292302.0,5639015.0,,8052302.0,
