,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.0,0.0,0.27,
Net Income From Continuing Operation Net Minority Interest,106501275.0,-7022540.0,-170856036.0,189556493.0,
Net Interest Income,18220599.0,16747577.0,11574723.0,11415821.0,
Interest Expense,17125767.0,16839708.0,10450737.0,9307782.0,
Interest Income,35346366.0,33587285.0,22025460.0,20723603.0,
Normalized Income,106501275.0,-7022540.0,-170856036.0,189556493.0,
Net Income From Continuing And Discontinued Operation,106501275.0,-7022540.0,-170856036.0,189556493.0,
Diluted Average Shares,,37649062.0,35159174.0,35170607.0,34912963.0
Basic Average Shares,,37649062.0,35159174.0,35170607.0,34912963.0
Diluted EPS,,-0.186526,-4.859501,5.389628,1.109341
Basic EPS,,-0.186526,-4.859501,5.389628,1.109341
Diluted NI Availto Com Stockholders,106501275.0,-7022540.0,-170856036.0,189556493.0,
Net Income Common Stockholders,106501275.0,-7022540.0,-170856036.0,189556493.0,
Net Income,106501275.0,-7022540.0,-170856036.0,189556493.0,
Net Income Including Noncontrolling Interests,106501275.0,-7022540.0,-170856036.0,189556493.0,
Net Income Continuous Operations,106501275.0,-7022540.0,-170856036.0,189556493.0,
Pretax Income,106501275.0,-7022540.0,-170856036.0,189556493.0,
Gain On Sale Of Security,20072998.0,-17640922.0,-20672251.0,119452345.0,
Operating Expense,3581617.0,3491240.0,3525170.0,4139168.0,
Other Operating Expenses,1587576.0,1652789.0,1855539.0,2135415.0,
Selling General And Administration,1994041.0,1838451.0,1669631.0,2003753.0,
General And Administrative Expense,1994041.0,1838451.0,1669631.0,2003753.0,
Total Revenue,110082892.0,-3531300.0,-167330866.0,193695661.0,
Operating Revenue,110082892.0,-3531300.0,-167330866.0,193695661.0,
