,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.0,0.27
Net Income From Continuing Operation Net Minority Interest,294920943.0,-312896552.0,83995110.0
Net Interest Income,32298498.0,23598814.0,752178.0
Interest Expense,868.0,,0.0
Interest Income,32299366.0,23598814.0,752178.0
Normalized Income,294920943.0,-312896552.0,83995110.0
Net Income From Continuing And Discontinued Operation,294920943.0,-312896552.0,83995110.0
Diluted Average Shares,,109023189.0,106322924.0
Basic Average Shares,,109023189.0,106322924.0
Diluted EPS,,-2.87,0.79
Basic EPS,,-2.87,0.79
Diluted NI Availto Com Stockholders,294920943.0,-312896552.0,83995110.0
Net Income Common Stockholders,294920943.0,-312896552.0,83995110.0
Net Income,294920943.0,-312896552.0,83995110.0
Net Income Including Noncontrolling Interests,294920943.0,-312896552.0,83995110.0
Net Income Continuous Operations,294920943.0,-312896552.0,83995110.0
Pretax Income,294920943.0,-312896552.0,83995110.0
Gain On Sale Of Security,-14559948.0,-113059153.0,18002214.0
Operating Expense,2520833.0,1727239.0,354697.0
Other Operating Expenses,557124.0,1037496.0,113111.0
Selling General And Administration,1963709.0,689743.0,241586.0
General And Administrative Expense,1963709.0,689743.0,241586.0
Total Revenue,297441776.0,-311169313.0,84349807.0
Operating Revenue,297441776.0,-311169313.0,84349807.0
