,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.0,0.0,0.27,
Net Income From Continuing Operation Net Minority Interest,95113053.0,-15539419.0,-181551692.0,178345433.0,
Net Interest Income,-5189554.0,-3711214.0,-2133755.0,-1123074.0,
Interest Expense,5189554.0,3711214.0,2133755.0,1123074.0,
Interest Income,0.0,0.0,0.0,0.0,
Normalized Income,95113053.0,-15539419.0,-181551692.0,178345433.0,
Net Income From Continuing And Discontinued Operation,95113053.0,-15539419.0,-181551692.0,178345433.0,
Diluted Average Shares,,86330106.0,85235536.0,85332743.0,85604189.0
Basic Average Shares,,86330106.0,85235536.0,85332743.0,85604189.0
Diluted EPS,,-0.18,-2.13,2.09,-1.57
Basic EPS,,-0.18,-2.13,2.09,-1.57
Diluted NI Availto Com Stockholders,95113053.0,-15539419.0,-181551692.0,178345433.0,
Net Income Common Stockholders,95113053.0,-15539419.0,-181551692.0,178345433.0,
Net Income,95113053.0,-15539419.0,-181551692.0,178345433.0,
Net Income Including Noncontrolling Interests,95113053.0,-15539419.0,-181551692.0,178345433.0,
Net Income Continuous Operations,95113053.0,-15539419.0,-181551692.0,178345433.0,
Pretax Income,95113053.0,-15539419.0,-181551692.0,178345433.0,
Gain On Sale Of Security,4668017.0,-25089400.0,-16993473.0,18430355.0,
Operating Expense,49353.0,68939.0,-208127.0,128215.0,
Other Operating Expenses,-904667.0,-950712.0,-1361955.0,-1029807.0,
Selling General And Administration,954020.0,1019651.0,1153828.0,1158022.0,
General And Administrative Expense,954020.0,1019651.0,1153828.0,1158022.0,
Total Revenue,95162406.0,-15470480.0,-181759819.0,178473648.0,
Operating Revenue,95162406.0,-15470480.0,-181759819.0,178473648.0,
