,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.0,0.0
Normalized EBITDA,-2650.0,-102729.0
Net Income From Continuing Operation Net Minority Interest,-2650.0,-102729.0
EBITDA,-2650.0,-102729.0
EBIT,-2650.0,-102729.0
Normalized Income,-2650.0,-102729.0
Net Income From Continuing And Discontinued Operation,-2650.0,-102729.0
Total Expenses,2650.0,102729.0
Diluted NI Availto Com Stockholders,-2650.0,-102729.0
Net Income Common Stockholders,-2650.0,-102729.0
Net Income,-2650.0,-102729.0
Net Income Including Noncontrolling Interests,-2650.0,-102729.0
Net Income Continuous Operations,-2650.0,-102729.0
Tax Provision,0.0,0.0
Pretax Income,-2650.0,-102729.0
Operating Income,-2650.0,-102729.0
Operating Expense,2650.0,102729.0
Selling General And Administration,2650.0,102729.0
General And Administrative Expense,2650.0,102729.0
Other Gand A,2650.0,102729.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
