,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,211569019.0,-1656315124.0,-640647879.0
Net Interest Income,-1499.0,,
Interest Expense,1499.0,,
Interest Income,0.0,,
Normalized Income,211569019.0,-1656315124.0,-640647879.0
Net Income From Continuing And Discontinued Operation,211569019.0,-1656315124.0,-640647879.0
Diluted Average Shares,,239698281.0,248313131.0
Basic Average Shares,,239698281.0,248313131.0
Diluted EPS,,-6.91,-2.58
Basic EPS,,-6.91,-2.58
Diluted NI Availto Com Stockholders,211569019.0,-1656315124.0,-640647879.0
Net Income Common Stockholders,211569019.0,-1656315124.0,-640647879.0
Net Income,211569019.0,-1656315124.0,-640647879.0
Net Income Including Noncontrolling Interests,211569019.0,-1656315124.0,-640647879.0
Net Income Continuous Operations,211569019.0,-1656315124.0,-640647879.0
Pretax Income,211569019.0,-1656315124.0,-640647879.0
Gain On Sale Of Security,-395050980.0,-1316378171.0,-200221131.0
Operating Expense,4014004.0,2803303.0,948691.0
Other Operating Expenses,209794.0,194856.0,-233834.0
Selling General And Administration,3804210.0,2608447.0,1182525.0
General And Administrative Expense,3804210.0,2608447.0,1182525.0
Total Revenue,215583023.0,-1653511821.0,-639699188.0
Operating Revenue,215583023.0,-1653511821.0,-639699188.0
