,2023-12-31
Tax Effect Of Unusual Items,0.0
Tax Rate For Calcs,0.0
Normalized EBITDA,-278254.0
Total Unusual Items,121187.0
Total Unusual Items Excluding Goodwill,121187.0
Net Income From Continuing Operation Net Minority Interest,-35880.0
EBITDA,-157067.0
EBIT,-157067.0
Normalized Income,-157067.0
Net Income From Continuing And Discontinued Operation,-35880.0
Total Expenses,157067.0
Diluted NI Availto Com Stockholders,-35880.0
Net Income Common Stockholders,-35880.0
Net Income,-35880.0
Net Income Including Noncontrolling Interests,-35880.0
Net Income Continuous Operations,-35880.0
Pretax Income,-35880.0
Other Income Expense,121187.0
Gain On Sale Of Security,121187.0
Operating Income,-157067.0
Operating Expense,157067.0
Other Operating Expenses,157067.0
Total Revenue,0.0
Operating Revenue,0.0
