,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Ordinary Shares Number,105430999.0,105430999.0,105430999.0,105430999.0,
Share Issued,105430999.0,105430999.0,105430999.0,105430999.0,
Net Debt,10460058.0,48305429.0,12250194.0,4092325.0,
Total Debt,10460058.0,49051955.0,12250194.0,4092325.0,
Tangible Book Value,1017845979.0,900264425.0,908038894.0,1157522600.0,
Invested Capital,1028306037.0,949316380.0,920289088.0,1161614925.0,
Net Tangible Assets,1017845979.0,900264425.0,908038894.0,1157522600.0,
Common Stock Equity,1017845979.0,900264425.0,908038894.0,1157522600.0,
Total Capitalization,1028306037.0,949316380.0,920289088.0,1161614925.0,
Total Equity Gross Minority Interest,1017845979.0,900264425.0,908038894.0,1157522600.0,
Stockholders Equity,1017845979.0,900264425.0,908038894.0,1157522600.0,
Retained Earnings,54095169.0,-90194674.0,-95549279.0,148474561.0,
Capital Stock,963750810.0,990459099.0,1003588173.0,1009048039.0,
Common Stock,963750810.0,990459099.0,1003588173.0,1009048039.0,
Total Liabilities Net Minority Interest,11477223.0,51060314.0,20002976.0,8711067.0,
Derivative Product Liabilities,,,355889.0,18982.0,
Long Term Debt And Capital Lease Obligation,10460058.0,49051955.0,12250194.0,4092325.0,
Payables,855964.0,1812196.0,7248626.0,4351570.0,
Other Payable,829477.0,1604736.0,7192627.0,1061484.0,
Accounts Payable,26487.0,207460.0,55999.0,3290086.0,
Total Assets,1029323202.0,951324739.0,928041870.0,1166233667.0,
Investments And Advances,1021908468.0,938661641.0,920768251.0,1158365231.0,
Investmentin Financial Assets,1021908468.0,938661641.0,920768251.0,1158365231.0,
Available For Sale Securities,10543100.0,6062282.0,,,5510752.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,1010126883.0,932359883.0,920768251.0,1158365231.0,
Prepaid Assets,27592.0,17590.0,22970.0,42667.0,
Receivables,940925.0,7481292.0,4551206.0,4544956.0,
Taxes Receivable,6446217.0,4417690.0,2699443.0,3280813.0,
Cash And Cash Equivalents,0.0,746526.0,,,
Cash Financial,0.0,746526.0,,,
Cash Cash Equivalents And Federal Funds Sold,0.0,746526.0,,,
