,2023-12-31,2022-12-31
Free Cash Flow,-28175000.0,-40715000.0
Repayment Of Debt,-176000.0,0.0
Issuance Of Debt,26650000.0,33773000.0
Issuance Of Capital Stock,0.0,5260000.0
Capital Expenditure,-220000.0,-493000.0
Interest Paid Supplemental Data,3000.0,0.0
Income Tax Paid Supplemental Data,0.0,454000.0
End Cash Position,3213000.0,4913000.0
Beginning Cash Position,4913000.0,6543000.0
Changes In Cash,-1700000.0,-1630000.0
Financing Cash Flow,26475000.0,39085000.0
Cash Flow From Continuing Financing Activities,26475000.0,39085000.0
Net Other Financing Charges,,-76000.0
Proceeds From Stock Option Exercised,1000.0,128000.0
Net Preferred Stock Issuance,0.0,5260000.0
Preferred Stock Issuance,0.0,5260000.0
Net Issuance Payments Of Debt,26474000.0,33773000.0
Net Short Term Debt Issuance,4749000.0,0.0
Short Term Debt Payments,-176000.0,0.0
Short Term Debt Issuance,4925000.0,0.0
Net Long Term Debt Issuance,21725000.0,33773000.0
Long Term Debt Issuance,21725000.0,33773000.0
Investing Cash Flow,-220000.0,-493000.0
Cash Flow From Continuing Investing Activities,-220000.0,-493000.0
Net PPE Purchase And Sale,-220000.0,-493000.0
Purchase Of PPE,-220000.0,-493000.0
Operating Cash Flow,-27955000.0,-40222000.0
Cash Flow From Continuing Operating Activities,-27955000.0,-40222000.0
Change In Working Capital,3381000.0,1920000.0
Change In Other Current Liabilities,-1587000.0,30000.0
Change In Other Current Assets,64000.0,57000.0
Change In Payables And Accrued Expense,5922000.0,4777000.0
Change In Accrued Expense,-2988000.0,150000.0
Change In Payable,8910000.0,4627000.0
Change In Account Payable,9500000.0,4424000.0
Change In Tax Payable,-590000.0,203000.0
Change In Income Tax Payable,-590000.0,203000.0
Change In Prepaid Assets,167000.0,-148000.0
Change In Inventory,-2186000.0,-910000.0
Change In Receivables,1001000.0,-1886000.0
Changes In Account Receivables,1001000.0,-1886000.0
Other Non Cash Items,50892000.0,62248000.0
Stock Based Compensation,2483000.0,1245000.0
Deferred Tax,-107000.0,-48000.0
Deferred Income Tax,-107000.0,-48000.0
Depreciation Amortization Depletion,2040000.0,2751000.0
Depreciation And Amortization,2040000.0,2751000.0
Operating Gains Losses,945000.0,-3708000.0
Gain Loss On Investment Securities,945000.0,-2687000.0
Net Income From Continuing Operations,-87589000.0,-104630000.0
