,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.0,0.0,0.0
Normalized EBITDA,2163535.0,-4613641.0,-689034.0
Total Unusual Items,-935187.0,134338.0,0.0
Total Unusual Items Excluding Goodwill,-935187.0,134338.0,0.0
Net Income From Continuing Operation Net Minority Interest,-677107.0,-4758805.0,-1025559.0
Reconciled Depreciation,957255.0,236696.0,226912.0
Reconciled Cost Of Revenue,10469628.0,3982797.0,2203844.0
EBITDA,1228348.0,-4479303.0,-689034.0
EBIT,271093.0,-4715999.0,-915946.0
Net Interest Income,-13013.0,-42806.0,-109613.0
Interest Expense,13013.0,42806.0,109613.0
Normalized Income,258080.0,-4893143.0,-1025559.0
Net Income From Continuing And Discontinued Operation,-677107.0,-4758805.0,-1025559.0
Total Expenses,19123399.0,10380854.0,4374027.0
Total Operating Income As Reported,150957.0,-5105420.0,-915946.0
Diluted NI Availto Com Stockholders,-677107.0,-4758805.0,-1025559.0
Net Income Common Stockholders,-677107.0,-4758805.0,-1025559.0
Net Income,-677107.0,-4758805.0,-1025559.0
Net Income Including Noncontrolling Interests,-677107.0,-4758805.0,-1025559.0
Net Income Continuous Operations,-677107.0,-4758805.0,-1025559.0
Tax Provision,0.0,0.0,0.0
Pretax Income,-677107.0,-4758805.0,-1025559.0
Other Income Expense,-935187.0,389421.0,
Other Non Operating Income Expenses,,255083.0,
Special Income Charges,-937530.0,232200.0,0.0
Other Special Charges,,-232200.0,
Impairment Of Capital Assets,120136.0,0.0,
Restructuring And Mergern Acquisition,815788.0,,
Gain On Sale Of Security,2343.0,-97862.0,
Net Non Operating Interest Income Expense,-13013.0,-42806.0,-109613.0
Interest Expense Non Operating,13013.0,42806.0,109613.0
Operating Income,271093.0,-5105420.0,-915946.0
Operating Expense,8653771.0,6398057.0,2170183.0
Research And Development,1024127.0,1833399.0,61953.0
Selling General And Administration,7629644.0,4564658.0,2108230.0
Gross Profit,8924864.0,1292637.0,1254237.0
Cost Of Revenue,10469628.0,3982797.0,2203844.0
Total Revenue,19394492.0,5275434.0,3458081.0
Operating Revenue,19394492.0,5275434.0,3458081.0
