,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.0,0.0,0.27,
Net Income From Continuing Operation Net Minority Interest,61338373.0,-1219668.0,-97530934.0,27629754.0,
Net Interest Income,15144829.0,14557423.0,20115098.0,22267911.0,
Interest Expense,10681942.0,9643579.0,4524370.0,2761263.0,
Interest Income,25826771.0,24201002.0,24639468.0,25029174.0,
Normalized Income,61338373.0,-1219668.0,-97530934.0,27629754.0,
Net Income From Continuing And Discontinued Operation,61338373.0,-1219668.0,-97530934.0,27629754.0,
Diluted Average Shares,,24393360.0,28770187.0,28780994.0,28322070.0
Basic Average Shares,,24393360.0,28770187.0,28780994.0,28322070.0
Diluted EPS,,-0.05,-3.39,0.96,0.3
Basic EPS,,-0.05,-3.39,0.96,0.3
Diluted NI Availto Com Stockholders,61338373.0,-1219668.0,-97530934.0,27629754.0,
Net Income Common Stockholders,61338373.0,-1219668.0,-97530934.0,27629754.0,
Net Income,61338373.0,-1219668.0,-97530934.0,27629754.0,
Net Income Including Noncontrolling Interests,61338373.0,-1219668.0,-97530934.0,27629754.0,
Net Income Continuous Operations,61338373.0,-1219668.0,-97530934.0,27629754.0,
Pretax Income,61338373.0,-1219668.0,-97530934.0,27629754.0,
Gain On Sale Of Security,-8422253.0,-19797593.0,-3129731.0,825965.0,
Operating Expense,512441.0,407567.0,422859.0,454312.0,
Other Operating Expenses,46953.0,38317.0,46430.0,44692.0,
Selling General And Administration,465488.0,369250.0,376429.0,409620.0,
General And Administrative Expense,465488.0,369250.0,376429.0,409620.0,
Total Revenue,61850814.0,-812101.0,-97108075.0,28084066.0,
Operating Revenue,61850814.0,-812101.0,-97108075.0,28084066.0,
