,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-27499000.0,-160101000.0,-189219000.0
Repurchase Of Capital Stock,0.0,-137202000.0,-15000000.0
Repayment Of Debt,0.0,-31840000.0,-253351000.0
Issuance Of Debt,20000000.0,10000000.0,205106000.0
Issuance Of Capital Stock,137908000.0,0.0,653247000.0
Capital Expenditure,-549000.0,-1240000.0,-1625000.0
Interest Paid Supplemental Data,898000.0,2581000.0,10537000.0
Income Tax Paid Supplemental Data,162000.0,4000.0,3000.0
End Cash Position,248392000.0,119945000.0,367384000.0
Beginning Cash Position,119945000.0,367384000.0,38545000.0
Effect Of Exchange Rate Changes,2230000.0,42770000.0,-1911000.0
Changes In Cash,126217000.0,-290209000.0,330750000.0
Financing Cash Flow,140345000.0,-159042000.0,583674000.0
Cash Flow From Continuing Financing Activities,140345000.0,-159042000.0,583674000.0
Net Other Financing Charges,-17563000.0,,-6328000.0
Net Preferred Stock Issuance,0.0,-137202000.0,653247000.0
Preferred Stock Payments,0.0,-137202000.0,0.0
Preferred Stock Issuance,0.0,0.0,653247000.0
Net Common Stock Issuance,137908000.0,0.0,-15000000.0
Common Stock Payments,0.0,0.0,-15000000.0
Common Stock Issuance,137908000.0,0.0,0.0
Net Issuance Payments Of Debt,20000000.0,-21840000.0,-48245000.0
Net Short Term Debt Issuance,20000000.0,-10000000.0,-30000000.0
Short Term Debt Payments,0.0,-20000000.0,-40000000.0
Short Term Debt Issuance,20000000.0,10000000.0,10000000.0
Net Long Term Debt Issuance,0.0,-11840000.0,-18245000.0
Long Term Debt Payments,0.0,-11840000.0,-213351000.0
Long Term Debt Issuance,0.0,0.0,195106000.0
Investing Cash Flow,12822000.0,27694000.0,-65330000.0
Cash Flow From Continuing Investing Activities,12822000.0,27694000.0,-65330000.0
Net Investment Purchase And Sale,13349000.0,28934000.0,-63757000.0
Sale Of Investment,56071000.0,211408000.0,0.0
Purchase Of Investment,-42722000.0,-182474000.0,-63757000.0
Net PPE Purchase And Sale,-527000.0,-1240000.0,-1573000.0
Sale Of PPE,22000.0,0.0,52000.0
Purchase Of PPE,-549000.0,-1240000.0,-1625000.0
Operating Cash Flow,-26950000.0,-158861000.0,-187594000.0
Cash Flow From Continuing Operating Activities,-26950000.0,-158861000.0,-187594000.0
Change In Working Capital,2006000.0,-88202000.0,-83477000.0
Change In Other Working Capital,3407000.0,-7518000.0,6248000.0
Change In Other Current Liabilities,-8981000.0,-8232000.0,-10554000.0
Change In Payables And Accrued Expense,80210000.0,52227000.0,91605000.0
Change In Accrued Expense,-17680000.0,-4251000.0,-16085000.0
Change In Payable,97890000.0,56478000.0,107690000.0
Change In Account Payable,89712000.0,46857000.0,96386000.0
Change In Tax Payable,-2128000.0,-1330000.0,-140000.0
Change In Income Tax Payable,-2128000.0,-1330000.0,-140000.0
Change In Prepaid Assets,-7028000.0,-8725000.0,-5960000.0
Change In Receivables,-65602000.0,-115954000.0,-164816000.0
Changes In Account Receivables,-65602000.0,-115954000.0,-164816000.0
Other Non Cash Items,7524000.0,6451000.0,11242000.0
Stock Based Compensation,109983000.0,16208000.0,18532000.0
Provisionand Write Offof Assets,1203000.0,23000.0,484000.0
Deferred Tax,-525000.0,-525000.0,-525000.0
Deferred Income Tax,-525000.0,-525000.0,-525000.0
Depreciation Amortization Depletion,11559000.0,11412000.0,14848000.0
Depreciation And Amortization,11559000.0,11412000.0,14848000.0
Amortization Cash Flow,2100000.0,2100000.0,2202000.0
Amortization Of Intangibles,2100000.0,2100000.0,2202000.0
Depreciation,9459000.0,9312000.0,12646000.0
Operating Gains Losses,890000.0,-13206000.0,-2237000.0
Gain Loss On Investment Securities,-1702000.0,196000.0,-153000.0
Net Foreign Currency Exchange Gain Loss,2546000.0,-13409000.0,-2100000.0
Gain Loss On Sale Of PPE,46000.0,7000.0,16000.0
Net Income From Continuing Operations,-159590000.0,-91022000.0,-146461000.0
