,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,709432.0,,
Ordinary Shares Number,75440709.0,79491704.0,79491704.0
Share Issued,76150141.0,79491704.0,79491704.0
Total Debt,29349000.0,13902000.0,36666000.0
Tangible Book Value,285523000.0,-1355302000.0,-1102048000.0
Invested Capital,398182000.0,-1260543000.0,-984683000.0
Working Capital,278720000.0,256813000.0,404941000.0
Net Tangible Assets,285523000.0,-1355302000.0,-1102048000.0
Capital Lease Obligations,9349000.0,13902000.0,16160000.0
Common Stock Equity,378182000.0,-1260543000.0,-1005189000.0
Total Capitalization,378182000.0,-1260543000.0,-994683000.0
Total Equity Gross Minority Interest,378182000.0,-1260543000.0,-1005189000.0
Stockholders Equity,378182000.0,-1260543000.0,-1005189000.0
Gains Losses Not Affecting Retained Earnings,1150000.0,-66000.0,-7797000.0
Other Equity Adjustments,1150000.0,-66000.0,-7797000.0
Treasury Stock,1025000.0,1025000.0,1028000.0
Retained Earnings,-2113821000.0,-1259479000.0,-1000288000.0
Additional Paid In Capital,2491873000.0,25000.0,3894000.0
Capital Stock,5000.0,2000.0,30000.0
Common Stock,5000.0,2000.0,30000.0
Total Liabilities Net Minority Interest,515795000.0,1973043000.0,1873752000.0
Total Non Current Liabilities Net Minority Interest,14262000.0,1629009000.0,1526129000.0
Preferred Securities Outside Stock Equity,0.0,1558881000.0,1503139000.0
Derivative Product Liabilities,5419000.0,0.0,
Dueto Related Parties Non Current,0.0,59932000.0,0.0
Tradeand Other Payables Non Current,0.0,0.0,0.0
Non Current Deferred Liabilities,3445000.0,3970000.0,4195000.0
Non Current Deferred Revenue,1432000.0,1432000.0,1132000.0
Non Current Deferred Taxes Liabilities,2013000.0,2538000.0,3063000.0
Long Term Debt And Capital Lease Obligation,5398000.0,6226000.0,18795000.0
Long Term Capital Lease Obligation,5398000.0,6226000.0,8289000.0
Long Term Debt,,,10506000.0
Current Liabilities,501533000.0,344034000.0,347623000.0
Other Current Liabilities,1627000.0,2858000.0,3491000.0
Current Deferred Liabilities,4295000.0,888000.0,8706000.0
Current Deferred Revenue,4295000.0,888000.0,8706000.0
Current Debt And Capital Lease Obligation,23951000.0,7676000.0,17871000.0
Current Capital Lease Obligation,3951000.0,7676000.0,7871000.0
Current Debt,20000000.0,,10000000.0
Other Current Borrowings,,,10000000.0
Line Of Credit,20000000.0,0.0,
Current Provisions,7703000.0,6632000.0,3635000.0
Payables And Accrued Expenses,463957000.0,325980000.0,313920000.0
Current Accrued Expenses,17279000.0,32443000.0,23856000.0
Payables,446678000.0,293537000.0,290064000.0
Other Payable,73609000.0,63303000.0,52352000.0
Dueto Related Parties Current,55251000.0,0.0,53005000.0
Total Tax Payable,950000.0,3078000.0,4408000.0
Accounts Payable,316868000.0,227156000.0,180299000.0
Total Assets,893977000.0,712500000.0,868563000.0
Total Non Current Assets,113724000.0,111653000.0,115999000.0
Other Non Current Assets,9149000.0,,
Goodwill And Other Intangible Assets,92659000.0,94759000.0,96859000.0
Other Intangible Assets,8050000.0,10150000.0,12250000.0
Goodwill,84609000.0,84609000.0,84609000.0
Net PPE,11916000.0,16894000.0,19140000.0
Accumulated Depreciation,-7778000.0,-7082000.0,-7320000.0
Gross PPE,19694000.0,23976000.0,26460000.0
Leases,3697000.0,3621000.0,3271000.0
Other Properties,4179000.0,4246000.0,4941000.0
Machinery Furniture Equipment,1569000.0,1386000.0,1350000.0
Buildings And Improvements,10249000.0,14723000.0,16898000.0
Properties,0.0,0.0,0.0
Current Assets,780253000.0,600847000.0,752564000.0
Other Current Assets,1594000.0,1550000.0,1029000.0
Restricted Cash,0.0,5000000.0,5000000.0
Prepaid Assets,7813000.0,8647000.0,8544000.0
Receivables,505980000.0,435882000.0,311850000.0
Taxes Receivable,39914000.0,34215000.0,26114000.0
Accounts Receivable,466066000.0,401667000.0,285736000.0
Allowance For Doubtful Accounts Receivable,-2230000.0,-1027000.0,-1004000.0
Gross Accounts Receivable,468296000.0,402694000.0,286740000.0
Cash Cash Equivalents And Short Term Investments,264866000.0,149768000.0,426141000.0
Other Short Term Investments,21474000.0,34823000.0,63757000.0
Cash And Cash Equivalents,243392000.0,114945000.0,362384000.0
