,2023-12-31,2022-12-31,2020-12-31
Free Cash Flow,183516000.0,208234000.0,133365000.0
Repurchase Of Capital Stock,-1109000.0,0.0,
Repayment Of Debt,-79000000.0,-524171000.0,-154658000.0
Issuance Of Debt,0.0,425000000.0,365246000.0
Issuance Of Capital Stock,,0.0,5000.0
Interest Paid Supplemental Data,136146000.0,124149000.0,125366000.0
End Cash Position,123076000.0,141949000.0,121722000.0
Beginning Cash Position,141949000.0,236198000.0,59058000.0
Changes In Cash,-18873000.0,-94249000.0,62664000.0
Financing Cash Flow,-204090000.0,-145798000.0,209696000.0
Cash Flow From Continuing Financing Activities,-204090000.0,-145798000.0,209696000.0
Net Other Financing Charges,-5888000.0,-22754000.0,-897000.0
Cash Dividends Paid,-118093000.0,-23873000.0,0.0
Preferred Stock Dividend Paid,,,0.0
Common Stock Dividend Paid,-118093000.0,-23873000.0,0.0
Net Common Stock Issuance,-1109000.0,0.0,5000.0
Common Stock Payments,-1109000.0,0.0,
Common Stock Issuance,,0.0,5000.0
Net Issuance Payments Of Debt,-79000000.0,-99171000.0,210588000.0
Net Long Term Debt Issuance,-79000000.0,-99171000.0,210588000.0
Long Term Debt Payments,-79000000.0,-524171000.0,-154658000.0
Long Term Debt Issuance,0.0,425000000.0,365246000.0
Investing Cash Flow,1701000.0,-156685000.0,-280397000.0
Cash Flow From Continuing Investing Activities,1701000.0,-156685000.0,-280397000.0
Net Other Investing Changes,-2382000.0,-3421000.0,820000.0
Dividends Received Cfi,5297000.0,25547000.0,10625000.0
Net Investment Purchase And Sale,42761000.0,-140345000.0,-235182000.0
Sale Of Investment,355543000.0,600697000.0,0.0
Purchase Of Investment,-312782000.0,-741042000.0,-235182000.0
Net Investment Properties Purchase And Sale,-33049000.0,-35197000.0,-45636000.0
Sale Of Investment Properties,9810000.0,9633000.0,7817000.0
Purchase Of Investment Properties,-42859000.0,-44830000.0,-53453000.0
Net Business Purchase And Sale,-10926000.0,-3269000.0,-11024000.0
Operating Cash Flow,183516000.0,208234000.0,133365000.0
Cash Flow From Continuing Operating Activities,183516000.0,208234000.0,133365000.0
Change In Working Capital,-19296000.0,-51006000.0,-49722000.0
Change In Other Current Assets,1247000.0,-355000.0,-10070000.0
Change In Payables And Accrued Expense,-16791000.0,-40157000.0,35457000.0
Change In Receivables,-3752000.0,-10494000.0,-75109000.0
Changes In Account Receivables,,-10494000.0,-75109000.0
Other Non Cash Items,25646000.0,112339000.0,81743000.0
Stock Based Compensation,12982000.0,11885000.0,5819000.0
Asset Impairment Charge,39000.0,1086000.0,214310000.0
Deferred Tax,-1283000.0,1128000.0,14558000.0
Deferred Income Tax,-1283000.0,1128000.0,14558000.0
Depreciation Amortization Depletion,211930000.0,277108000.0,214456000.0
Depreciation And Amortization,211930000.0,277108000.0,214456000.0
Amortization Cash Flow,21425000.0,20798000.0,-574000.0
Amortization Of Intangibles,21425000.0,20798000.0,-574000.0
Depreciation,190505000.0,256310000.0,215030000.0
Operating Gains Losses,-49706000.0,-44791000.0,-12270000.0
Earnings Losses From Equity Investments,-11865000.0,-19796000.0,14854000.0
Gain Loss On Investment Securities,13308000.0,18599000.0,5397000.0
Gain Loss On Sale Of Business,-47879000.0,-36250000.0,0.0
Net Income From Continuing Operations,3204000.0,-99515000.0,-335529000.0
