,2024-04-30,2023-04-30,2022-04-30,2021-04-30,2020-04-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.0,0.0,0.27,
Net Income From Continuing Operation Net Minority Interest,38337679.0,-10135314.0,-29530990.0,137846127.0,
Reconciled Depreciation,-2523579.0,-474810.0,1218795.0,-1355809.0,
Net Interest Income,33568383.0,33675667.0,38253276.0,37995841.0,
Interest Expense,11557078.0,7364166.0,1635599.0,1750610.0,
Interest Income,45125461.0,41039833.0,39888875.0,39746451.0,
Normalized Income,38337679.0,-10135314.0,-29530990.0,137846127.0,
Net Income From Continuing And Discontinued Operation,38337679.0,-10135314.0,-29530990.0,137846127.0,
Diluted Average Shares,,59619494.0,60267327.0,60458828.0,60622944.0
Basic Average Shares,,59619494.0,60267327.0,60458828.0,60622944.0
Diluted EPS,,-0.17,-0.49,2.28,-0.74
Basic EPS,,-0.17,-0.49,2.28,-0.74
Diluted NI Availto Com Stockholders,38337679.0,-10135314.0,-29530990.0,137846127.0,
Net Income Common Stockholders,38337679.0,-10135314.0,-29530990.0,137846127.0,
Net Income,38337679.0,-10135314.0,-29530990.0,137846127.0,
Net Income Including Noncontrolling Interests,38337679.0,-10135314.0,-29530990.0,137846127.0,
Net Income Continuous Operations,38337679.0,-10135314.0,-29530990.0,137846127.0,
Pretax Income,38337679.0,-10135314.0,-29530990.0,137846127.0,
Gain On Sale Of Security,-16277487.0,-45003699.0,13825969.0,-13767887.0,
Operating Expense,594436.0,744230.0,814182.0,738235.0,
Other Operating Expenses,36721.0,34698.0,41644.0,49769.0,
Selling General And Administration,557715.0,709532.0,772538.0,688466.0,
General And Administrative Expense,557715.0,709532.0,772538.0,688466.0,
Total Revenue,38932115.0,-9391084.0,-28716808.0,138584362.0,
Operating Revenue,38932115.0,-9391084.0,-28716808.0,138584362.0,
