,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.4,0.0,0.21,0.27,
Net Income From Continuing Operation Net Minority Interest,125051086.0,-49535770.0,2189737.0,243864779.0,
Net Interest Income,72959631.0,67646140.0,62680527.0,61336107.0,
Interest Expense,303678.0,234381.0,4112.0,14515.0,
Interest Income,73263309.0,67880521.0,62684639.0,61350622.0,
Normalized Income,125051086.0,-49535770.0,2189737.0,243864779.0,
Net Income From Continuing And Discontinued Operation,125051086.0,-49535770.0,2189737.0,243864779.0,
Diluted Average Shares,,85406500.0,72991233.0,86171300.0,86358801.0
Basic Average Shares,,85406500.0,72991233.0,86171300.0,86358801.0
Diluted EPS,,-0.58,0.03,2.83,-1.42
Basic EPS,,-0.58,0.03,2.83,-1.42
Diluted NI Availto Com Stockholders,125051086.0,-49535770.0,2189737.0,243864779.0,
Net Income Common Stockholders,125051086.0,-49535770.0,2189737.0,243864779.0,
Net Income,125051086.0,-49535770.0,2189737.0,243864779.0,
Net Income Including Noncontrolling Interests,125051086.0,-49535770.0,2189737.0,243864779.0,
Net Income Extraordinary,,,,284.0,6296.0
Net Income Continuous Operations,125051086.0,-49535770.0,2189737.0,243864779.0,
Pretax Income,125051086.0,-49535770.0,2189737.0,243864779.0,
Gain On Sale Of Security,-5259690.0,-59055511.0,28989415.0,-3468063.0,
Operating Expense,1052501.0,1113103.0,1044487.0,1267371.0,
Other Operating Expenses,26689.0,25819.0,31173.0,21472.0,
Selling General And Administration,1025812.0,1087284.0,1013314.0,1245899.0,
General And Administrative Expense,1025812.0,1087284.0,1013314.0,1245899.0,
Total Revenue,126103587.0,-48422667.0,3234224.0,245132150.0,
Operating Revenue,126103587.0,-48422667.0,3234224.0,245132150.0,
