,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Treasury Shares Number,,0.0,,,
Ordinary Shares Number,26877415.0,26644318.0,26080838.0,24848140.0,
Share Issued,26877415.0,26644318.0,26080838.0,24848140.0,
Net Debt,210250000.0,210000000.0,230000000.0,270000000.0,
Total Debt,210250000.0,210000000.0,230000000.0,270000000.0,
Tangible Book Value,516997483.0,459365026.0,526612762.0,788554170.0,
Invested Capital,727247483.0,669365026.0,756612762.0,1058554170.0,
Net Tangible Assets,516997483.0,459365026.0,526612762.0,788554170.0,
Common Stock Equity,516997483.0,459365026.0,526612762.0,788554170.0,
Total Capitalization,727247483.0,669365026.0,756612762.0,1058554170.0,
Total Equity Gross Minority Interest,516997483.0,459365026.0,526612762.0,788554170.0,
Stockholders Equity,516997483.0,459365026.0,526612762.0,788554170.0,
Retained Earnings,-29364398.0,-103734412.0,-25331079.0,264759993.0,
Capital Stock,546361881.0,563099438.0,551943841.0,523794177.0,
Common Stock,546361881.0,563099438.0,551943841.0,523794177.0,
Total Liabilities Net Minority Interest,307075585.0,304228613.0,327320549.0,368088151.0,
Preferred Securities Outside Stock Equity,91269641.0,91574265.0,91419889.0,91478563.0,
Derivative Product Liabilities,0.0,,4200.0,1471978.0,79500.0
Long Term Debt And Capital Lease Obligation,210250000.0,210000000.0,230000000.0,270000000.0,
Payables,5555944.0,2654348.0,5896460.0,5137610.0,
Other Payable,1842148.0,1861057.0,1298043.0,1235702.0,
Accounts Payable,3713796.0,793291.0,4598417.0,3901908.0,
Total Assets,824073068.0,763593639.0,853933311.0,1156642321.0,
Investments And Advances,800822422.0,735686397.0,814449418.0,1111982515.0,
Investmentin Financial Assets,800822422.0,735686397.0,814449418.0,1111982515.0,
Available For Sale Securities,,,,,878733915.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,800127679.0,734648919.0,814449415.0,1111982515.0,
Prepaid Assets,312480.0,268970.0,269926.0,287234.0,
Receivables,4263323.0,7236986.0,3109189.0,3086953.0,
Cash And Cash Equivalents,,,,41285304.0,21990.0
Cash Financial,,,,41285304.0,21990.0
Cash Cash Equivalents And Federal Funds Sold,18674843.0,20401286.0,36104778.0,41285619.0,
