,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.21,0.0
Normalized EBITDA,-1151448.0,-1225.0
Net Income From Continuing Operation Net Minority Interest,1305390.0,-1225.0
EBITDA,-1151448.0,-1225.0
EBIT,-1151448.0,-1225.0
Net Interest Income,2456838.0,0.0
Interest Income,2456838.0,0.0
Normalized Income,1305390.0,-1225.0
Net Income From Continuing And Discontinued Operation,1305390.0,-1225.0
Total Expenses,1151448.0,1225.0
Diluted Average Shares,37500000.0,37500000.0
Basic Average Shares,7651027.0,7651027.0
Diluted EPS,0.105172,-0.00016
Basic EPS,0.170616,-0.00016
Diluted NI Availto Com Stockholders,1305390.0,-1225.0
Net Income Common Stockholders,1305390.0,-1225.0
Net Income,1305390.0,-1225.0
Net Income Including Noncontrolling Interests,1305390.0,-1225.0
Net Income Continuous Operations,1305390.0,-1225.0
Pretax Income,1305390.0,-1225.0
Net Non Operating Interest Income Expense,2456838.0,0.0
Interest Income Non Operating,2456838.0,0.0
Operating Income,-1151448.0,-1225.0
Operating Expense,1151448.0,1225.0
Other Operating Expenses,,1225.0
Selling General And Administration,1151448.0,1225.0
General And Administrative Expense,1151448.0,1225.0
Other Gand A,1151448.0,1225.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
