,2024-03-31,2023-03-31,2022-03-31,2021-03-31,2020-03-31
Treasury Shares Number,1165883.0,1165883.0,1165883.0,1165883.0,
Ordinary Shares Number,440051460.0,68598050.0,68598050.0,48850574.0,
Share Issued,441217343.0,69763933.0,69763933.0,50016457.0,
Net Debt,,,,,13331896.0
Total Debt,,,,10000000.0,20754250.0
Tangible Book Value,138367384.0,8725304.0,12283606.0,17271525.0,
Invested Capital,138367384.0,8725304.0,12283606.0,27271525.0,
Working Capital,138424194.0,8839516.0,12108605.0,15708517.0,
Net Tangible Assets,138367384.0,8725304.0,12283606.0,17271525.0,
Capital Lease Obligations,,,,0.0,754250.0
Common Stock Equity,138367384.0,8725304.0,12283606.0,17271525.0,
Total Capitalization,138367384.0,8725304.0,12283606.0,17271525.0,
Total Equity Gross Minority Interest,138424194.0,8839516.0,12285582.0,17271525.0,
Minority Interest,56810.0,114212.0,1976.0,0.0,
Stockholders Equity,138367384.0,8725304.0,12283606.0,17271525.0,
Gains Losses Not Affecting Retained Earnings,-4086587.0,-3847601.0,-1649223.0,-3103543.0,
Other Equity Adjustments,-4086587.0,-3847601.0,-1649223.0,-3103543.0,
Treasury Stock,3988370.0,3988370.0,3988370.0,3988370.0,
Retained Earnings,-63926383.0,-54467600.0,-53107676.0,-36256612.0,
Additional Paid In Capital,210324890.0,71021898.0,71021898.0,60615048.0,
Capital Stock,43834.0,6977.0,6977.0,5002.0,
Common Stock,43834.0,6977.0,6977.0,5002.0,
Total Liabilities Net Minority Interest,3593923.0,11620783.0,50520926.0,14413971.0,
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0,
Non Current Deferred Liabilities,,,,,96228.0
Non Current Deferred Revenue,,,,,96228.0
Long Term Debt And Capital Lease Obligation,,,,0.0,20013498.0
Long Term Capital Lease Obligation,,,,0.0,13498.0
Long Term Debt,,,,,20000000.0
Current Liabilities,3593923.0,11620783.0,50520926.0,14413971.0,
Other Current Liabilities,,705483.0,13002229.0,,8421098.0
Current Deferred Liabilities,415020.0,194376.0,0.0,,124682.0
Current Deferred Revenue,415020.0,194376.0,0.0,,124682.0
Current Debt And Capital Lease Obligation,,,,10000000.0,740752.0
Current Capital Lease Obligation,,,,0.0,740752.0
Current Debt,,,,10000000.0,
Other Current Borrowings,,,,10000000.0,
Current Notes Payable,,,0.0,10000000.0,
Payables And Accrued Expenses,3178903.0,10720924.0,37518697.0,4413971.0,
Current Accrued Expenses,1104812.0,938767.0,225881.0,1142507.0,
Interest Payable,9450.0,105085.0,127244.0,0.0,
Payables,2074091.0,9782157.0,37292816.0,3271464.0,
Dueto Related Parties Current,2000000.0,9686152.0,37200000.0,2968782.0,
Total Tax Payable,74091.0,96005.0,92816.0,302682.0,
Income Tax Payable,92816.0,95888.0,92816.0,419709.0,
Total Assets,142018117.0,20460299.0,62806508.0,31685496.0,
Total Non Current Assets,0.0,0.0,176977.0,1563008.0,
Other Non Current Assets,,272129.0,176977.0,,3786332.0
Non Current Deferred Assets,,,,,0.0
Non Current Deferred Taxes Assets,,,,,0.0
Non Current Note Receivables,,,,0.0,14070741.0
Non Current Accounts Receivable,,,,1496121.0,8237346.0
Investments And Advances,,,,0.0,1600000.0
Net PPE,,,55433.0,66887.0,763570.0
Accumulated Depreciation,,,-85880.0,-65080.0,-45695.0
Gross PPE,,,141313.0,131967.0,809265.0
Leases,,,,,133421.0
Other Properties,,,,,670738.0
Machinery Furniture Equipment,,,141313.0,131967.0,138527.0
Properties,,,,,0.0
Current Assets,142018117.0,20460299.0,62629531.0,30122488.0,
Other Current Assets,402899.0,272129.0,,,
Assets Held For Sale Current,0.0,1351352.0,16403722.0,0.0,
Prepaid Assets,56250000.0,0.0,176978.0,592778.0,
Inventory,191201.0,1686449.0,7795822.0,0.0,
Finished Goods,191201.0,1686449.0,7795822.0,0.0,
Receivables,0.0,9225901.0,20000000.0,14400991.0,
Receivables Adjustments Allowances,,,,,-547920.0
Other Receivables,,1528918.0,20000000.0,8872838.0,23609338.0
Accrued Interest Receivable,,,2055.0,11746.0,25317.0
Loans Receivable,,,0.0,5488045.0,12626200.0
Accounts Receivable,0.0,7696983.0,0.0,28362.0,
Allowance For Doubtful Accounts Receivable,-7770556.0,-400759.0,0.0,-67864.0,
Gross Accounts Receivable,7770556.0,8097742.0,0.0,96226.0,
Cash Cash Equivalents And Short Term Investments,85174017.0,7924468.0,18429987.0,15128719.0,
Cash And Cash Equivalents,85174017.0,7924468.0,18429987.0,15128719.0,
