,2023-06-30,2022-06-30,2021-06-30
Free Cash Flow,-70438000.0,-67617000.0,-35542000.0
Repayment Of Debt,-43816000.0,-29966000.0,-26755000.0
Issuance Of Debt,124963000.0,33657000.0,25774000.0
Issuance Of Capital Stock,0.0,0.0,95046000.0
Capital Expenditure,-17956000.0,-21641000.0,-16561000.0
End Cash Position,19582000.0,22693000.0,87257000.0
Beginning Cash Position,22693000.0,87257000.0,33861000.0
Effect Of Exchange Rate Changes,854000.0,-216000.0,-8000.0
Changes In Cash,-3965000.0,-64348000.0,53404000.0
Financing Cash Flow,66470000.0,3269000.0,88946000.0
Cash Flow From Continuing Financing Activities,66470000.0,3269000.0,88946000.0
Net Other Financing Charges,-14677000.0,-422000.0,-5119000.0
Net Common Stock Issuance,0.0,0.0,95046000.0
Common Stock Issuance,0.0,0.0,95046000.0
Net Issuance Payments Of Debt,81147000.0,3691000.0,-981000.0
Net Short Term Debt Issuance,,0.0,-13000000.0
Short Term Debt Payments,,0.0,-13000000.0
Net Long Term Debt Issuance,81147000.0,3691000.0,-981000.0
Long Term Debt Payments,-43816000.0,-29966000.0,-26755000.0
Long Term Debt Issuance,124963000.0,33657000.0,25774000.0
Investing Cash Flow,-17953000.0,-21641000.0,-16561000.0
Cash Flow From Continuing Investing Activities,-17953000.0,-21641000.0,-16561000.0
Net Intangibles Purchase And Sale,-4874000.0,-6007000.0,-3990000.0
Purchase Of Intangibles,-4874000.0,-6007000.0,-3990000.0
Net PPE Purchase And Sale,-13079000.0,-15634000.0,-12571000.0
Sale Of PPE,3000.0,0.0,0.0
Purchase Of PPE,-13082000.0,-15634000.0,-12571000.0
Cash Flowsfromusedin Operating Activities Direct,-52482000.0,-45976000.0,-18981000.0
Interest Received Direct,61000.0,94000.0,69000.0
Interest Paid Direct,-3810000.0,-2475000.0,-1641000.0
Classesof Cash Payments,-109921000.0,-81005000.0,-59533000.0
Other Cash Paymentsfrom Operating Activities,-29706000.0,,
Paymentsto Suppliersfor Goodsand Services,-80215000.0,-81005000.0,-59533000.0
Classesof Cash Receiptsfrom Operating Activities,61188000.0,37410000.0,42124000.0
Other Cash Receiptsfrom Operating Activities,15446000.0,3767000.0,11888000.0
Receiptsfrom Customers,45742000.0,33643000.0,30236000.0
