,2024-12-31,2023-12-31,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.045768,0.01297,0.083969,0.01817,
Net Income From Continuing Operation Net Minority Interest,1522000000.0,1522000000.0,600000000.0,1567000000.0,
Net Interest Income,1503000000.0,1432000000.0,1015000000.0,875000000.0,
Interest Expense,659000000.0,530000000.0,455000000.0,372000000.0,
Interest Income,2162000000.0,1962000000.0,1470000000.0,1247000000.0,
Normalized Income,1522000000.0,1522000000.0,600000000.0,1567000000.0,
Net Income From Continuing And Discontinued Operation,1522000000.0,1522000000.0,600000000.0,1567000000.0,
Diluted Average Shares,,575000000.0,518000000.0,446000000.0,424000000.0
Basic Average Shares,,554000000.0,498000000.0,446000000.0,424000000.0
Diluted EPS,,2.68,1.19,3.51,1.14
Basic EPS,,2.75,1.21,3.51,1.14
Diluted NI Availto Com Stockholders,1522000000.0,1539000000.0,617000000.0,1567000000.0,
Average Dilution Earnings,0.0,17000000.0,17000000.0,0.0,
Net Income Common Stockholders,1522000000.0,1522000000.0,600000000.0,1567000000.0,
Net Income,1522000000.0,1522000000.0,600000000.0,1567000000.0,
Net Income Including Noncontrolling Interests,1522000000.0,1522000000.0,600000000.0,1567000000.0,
Net Income Continuous Operations,1522000000.0,1522000000.0,600000000.0,1567000000.0,
Tax Provision,73000000.0,20000000.0,55000000.0,29000000.0,
Pretax Income,1595000000.0,1542000000.0,655000000.0,1596000000.0,
Gain On Sale Of Security,-60000000.0,-155000000.0,24000000.0,258000000.0,
Operating Expense,113000000.0,94000000.0,86000000.0,82000000.0,
Other Operating Expenses,70000000.0,52000000.0,48000000.0,43000000.0,
Selling General And Administration,43000000.0,42000000.0,38000000.0,39000000.0,
General And Administrative Expense,43000000.0,42000000.0,38000000.0,39000000.0,
Total Revenue,1708000000.0,1636000000.0,741000000.0,1678000000.0,
Operating Revenue,1708000000.0,1636000000.0,741000000.0,1678000000.0,
