,2024-04-30,2023-04-30,2022-04-30,2021-04-30,2020-04-30
Free Cash Flow,-8417236.0,-8923152.0,-6720448.0,-2712027.0,
Repayment Of Debt,,0.0,-58667.0,-1918.0,0.0
Issuance Of Debt,300000.0,0.0,0.0,402110.0,
Issuance Of Capital Stock,3352425.0,0.0,18911456.0,2100000.0,
Capital Expenditure,-147243.0,,-106458.0,,
End Cash Position,376048.0,5140859.0,14063811.0,1929270.0,
Beginning Cash Position,5140859.0,14063811.0,1929270.0,90285.0,
Changes In Cash,-4764811.0,-8922952.0,12134541.0,1838985.0,
Financing Cash Flow,3652425.0,200.0,18854989.0,4450097.0,
Cash Flow From Continuing Financing Activities,3652425.0,200.0,18854989.0,4450097.0,
Net Other Financing Charges,,,,1949905.0,134.0
Proceeds From Stock Option Exercised,0.0,200.0,2200.0,0.0,
Net Preferred Stock Issuance,2100000.0,0.0,,,
Preferred Stock Issuance,2100000.0,0.0,,,
Net Common Stock Issuance,1252425.0,0.0,18911456.0,2100000.0,
Common Stock Issuance,1252425.0,0.0,18911456.0,2100000.0,
Net Issuance Payments Of Debt,300000.0,0.0,-58667.0,400192.0,
Net Short Term Debt Issuance,300000.0,0.0,,,
Short Term Debt Issuance,300000.0,0.0,,,
Net Long Term Debt Issuance,,0.0,-58667.0,400192.0,0.0
Long Term Debt Payments,,0.0,-58667.0,-1918.0,0.0
Long Term Debt Issuance,,,0.0,402110.0,0.0
Investing Cash Flow,-147243.0,0.0,-106458.0,100915.0,
Cash Flow From Continuing Investing Activities,-147243.0,0.0,-106458.0,100915.0,
Net Other Investing Changes,,,,100915.0,105000.0
Net PPE Purchase And Sale,-147243.0,0.0,-106458.0,0.0,
Purchase Of PPE,-147243.0,0.0,-106458.0,0.0,
Operating Cash Flow,-8269993.0,-8923152.0,-6613990.0,-2712027.0,
Cash Flow From Continuing Operating Activities,-8269993.0,-8923152.0,-6613990.0,-2712027.0,
Change In Working Capital,670666.0,2349324.0,1327181.0,-152451.0,
Change In Payables And Accrued Expense,54937.0,1707272.0,693584.0,-413242.0,
Change In Prepaid Assets,615729.0,642052.0,633597.0,260791.0,
Other Non Cash Items,714.0,,12770.0,517050.0,453724.0
Stock Based Compensation,955633.0,3582625.0,4408569.0,2032359.0,
Depreciation Amortization Depletion,50740.0,23066.0,3549.0,0.0,
Depreciation And Amortization,50740.0,23066.0,3549.0,0.0,
Depreciation,50740.0,23066.0,3549.0,0.0,
Operating Gains Losses,,,-4000.0,-62418.0,
Net Income From Continuing Operations,-9947746.0,-14878167.0,-12362059.0,-5046567.0,
