,2024-11-30,2023-11-30,2022-11-30,2021-11-30,2020-11-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.0,0.000141,
Net Income From Continuing Operation Net Minority Interest,16374576.0,2451604.0,-34271839.0,12603430.0,
Net Interest Income,6233580.0,6336820.0,7646962.0,9280266.0,
Interest Expense,3695014.0,3751346.0,1933470.0,1128001.0,
Interest Income,9928594.0,10088166.0,9580432.0,10408267.0,
Normalized Income,16374576.0,2451604.0,-34271839.0,12603430.0,
Net Income From Continuing And Discontinued Operation,16374576.0,2451604.0,-34271839.0,12603430.0,
Diluted Average Shares,,35022914.0,31442054.0,31508575.0,26647600.0
Basic Average Shares,,35022914.0,31442054.0,31508575.0,26647600.0
Diluted EPS,,0.07,-1.09,0.4,0.03
Basic EPS,,0.07,-1.09,0.4,0.03
Diluted NI Availto Com Stockholders,16374576.0,2451604.0,-34271839.0,12603430.0,
Net Income Common Stockholders,16374576.0,2451604.0,-34271839.0,12603430.0,
Net Income,16374576.0,2451604.0,-34271839.0,12603430.0,
Net Income Including Noncontrolling Interests,16374576.0,2451604.0,-34271839.0,12603430.0,
Net Income Continuous Operations,16374576.0,2451604.0,-34271839.0,12603430.0,
Tax Provision,,,,1781.0,
Pretax Income,16374576.0,2451604.0,-34271839.0,12605211.0,
Gain On Sale Of Security,-1349115.0,-4782767.0,-3797428.0,598403.0,
Operating Expense,-83738.0,1040.0,52849.0,53747.0,
Other Operating Expenses,-423145.0,-286109.0,-271960.0,-235614.0,
Selling General And Administration,339407.0,287149.0,324809.0,289361.0,
General And Administrative Expense,339407.0,287149.0,324809.0,289361.0,
Total Revenue,16290838.0,2452644.0,-34218990.0,12658958.0,
Operating Revenue,16290838.0,2452644.0,-34218990.0,12658958.0,
