,2023-12-31,2022-12-31
Free Cash Flow,39354218.0,25733699.0
Repayment Of Debt,-20000000.0,
End Cash Position,152806.0,605539.0
Beginning Cash Position,605539.0,236567.0
Effect Of Exchange Rate Changes,-13757.0,11163.0
Changes In Cash,-438976.0,357809.0
Financing Cash Flow,-39793194.0,-25375890.0
Net Other Financing Charges,0.0,0.0
Cash Dividends Paid,-19793194.0,-25375890.0
Common Stock Dividend Paid,-19793194.0,-25375890.0
Net Issuance Payments Of Debt,-20000000.0,
Net Long Term Debt Issuance,-20000000.0,
Long Term Debt Payments,-20000000.0,
Operating Cash Flow,39354218.0,25733699.0
Change In Working Capital,-332116.0,-213792.0
Change In Other Current Liabilities,0.0,0.0
Change In Accrued Expense,-43440.0,-170737.0
Change In Payable,75657.0,-657951.0
Change In Prepaid Assets,19125.0,-9588.0
Change In Receivables,-383458.0,624484.0
Gain Loss On Investment Securities,10556896.0,152029359.0
Net Foreign Currency Exchange Gain Loss,2641.0,-3624.0
Net Income From Continuing Operations,29126797.0,-126078244.0
