,2024-11-30,2023-11-30,2022-11-30,2021-11-30,2020-11-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.0,0.27,
Net Income From Continuing Operation Net Minority Interest,115295833.0,9725632.0,-155940028.0,18347930.0,
Net Interest Income,149901.0,97114.0,,,
Interest Expense,39300.0,,,,
Interest Income,189201.0,97114.0,,,
Normalized Income,115295833.0,9725632.0,-155940028.0,18347930.0,
Net Income From Continuing And Discontinued Operation,115295833.0,9725632.0,-155940028.0,18347930.0,
Rent Expense Supplemental,,,,57956.0,228590.0
Diluted Average Shares,19215972.0,19451264.0,19299508.0,19313611.0,
Basic Average Shares,19215972.0,19451264.0,19299508.0,19313611.0,
Diluted EPS,6.0,0.5,-8.08,0.95,
Basic EPS,6.0,0.5,-8.08,0.95,
Diluted NI Availto Com Stockholders,115295833.0,9725632.0,-155940028.0,18347930.0,
Net Income Common Stockholders,115295833.0,9725632.0,-155940028.0,18347930.0,
Net Income,115295833.0,9725632.0,-155940028.0,18347930.0,
Net Income Including Noncontrolling Interests,115295843.0,9725632.0,-155940028.0,18347930.0,
Net Income Continuous Operations,115295843.0,9725632.0,-155940028.0,18347930.0,
Pretax Income,115295843.0,9725632.0,-155940028.0,18347930.0,
Gain On Sale Of Security,65331657.0,8962920.0,26955986.0,26432094.0,
Operating Expense,3639918.0,1097560.0,1176325.0,999290.0,
Other Operating Expenses,2513836.0,-13358.0,57452.0,-98064.0,
Selling General And Administration,1126082.0,1110918.0,1118873.0,1039398.0,
General And Administrative Expense,1126082.0,1110918.0,1118873.0,1039398.0,
Rent And Landing Fees,,,,57956.0,228590.0
Total Revenue,118935761.0,10823192.0,-154763703.0,19347220.0,
Operating Revenue,118935761.0,10823192.0,-154763703.0,19347220.0,
