,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Ordinary Shares Number,64456047.0,65258486.0,65987557.0,66092125.0,
Share Issued,64456047.0,65258486.0,65987557.0,66092125.0,
Net Debt,43314000.0,20480000.0,65304000.0,104897000.0,
Total Debt,49357000.0,24096000.0,67034000.0,106330000.0,
Tangible Book Value,335568000.0,331231000.0,318061000.0,425893000.0,
Invested Capital,384925000.0,355327000.0,385095000.0,532223000.0,
Net Tangible Assets,335568000.0,331231000.0,318061000.0,425893000.0,
Common Stock Equity,335568000.0,331231000.0,318061000.0,425893000.0,
Total Capitalization,384925000.0,355327000.0,385095000.0,532223000.0,
Total Equity Gross Minority Interest,335568000.0,331231000.0,318061000.0,425893000.0,
Stockholders Equity,335568000.0,331231000.0,318061000.0,425893000.0,
Retained Earnings,-173851000.0,-191294000.0,-226448000.0,-201097000.0,
Additional Paid In Capital,508774000.0,521872000.0,543849000.0,626329000.0,
Capital Stock,645000.0,653000.0,660000.0,661000.0,
Common Stock,645000.0,653000.0,660000.0,661000.0,
Total Liabilities Net Minority Interest,69413000.0,31324000.0,71653000.0,108234000.0,
Derivative Product Liabilities,13745000.0,4876000.0,2281000.0,786000.0,
Long Term Debt And Capital Lease Obligation,49357000.0,24096000.0,67034000.0,106330000.0,
Payables,5912000.0,1958000.0,2276000.0,1000000.0,
Other Payable,3550000.0,1958000.0,1867000.0,1000000.0,
Accounts Payable,2362000.0,,409000.0,,31000.0
Total Assets,404981000.0,362555000.0,389714000.0,534127000.0,
Investments And Advances,386138000.0,350031000.0,376913000.0,521700000.0,
Investmentin Financial Assets,386138000.0,350031000.0,376913000.0,521700000.0,
Financial Assets Designatedas Fair Value Through Profitor Loss Total,372584000.0,345442000.0,369824000.0,521147000.0,
Receivables,11127000.0,7456000.0,9708000.0,9765000.0,
Taxes Receivable,1627000.0,1406000.0,1303000.0,1154000.0,
Cash And Cash Equivalents,6043000.0,3616000.0,1730000.0,1433000.0,
Cash Financial,6043000.0,3616000.0,1730000.0,1433000.0,
Cash Cash Equivalents And Federal Funds Sold,6043000.0,3616000.0,1730000.0,1433000.0,
