,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,37295698000.0,8802159000.0,11882183000.0
Repurchase Of Capital Stock,-205608000.0,-5529255000.0,0.0
Repayment Of Debt,-255098476000.0,-182081244000.0,-209117239000.0
Issuance Of Debt,222873866000.0,203517007000.0,199987569000.0
Capital Expenditure,-73705274000.0,-72931743000.0,-63178455000.0
End Cash Position,58040394000.0,76073345000.0,51538071000.0
Beginning Cash Position,76073345000.0,51538071000.0,60130875000.0
Effect Of Exchange Rate Changes,7376757000.0,-2236213000.0,-711795000.0
Changes In Cash,-25409708000.0,26771487000.0,-7881009000.0
Financing Cash Flow,-62458806000.0,-5870846000.0,-21995344000.0
Cash Flow From Continuing Financing Activities,-62458806000.0,-5870846000.0,-21995344000.0
Net Other Financing Charges,-1107001000.0,-6422769000.0,-6279222000.0
Proceeds From Stock Option Exercised,1069255000.0,2727915000.0,1934530000.0
Cash Dividends Paid,-29990842000.0,-18082500000.0,-8520982000.0
Common Stock Dividend Paid,,,-8520982000.0
Net Common Stock Issuance,-205608000.0,-5529255000.0,0.0
Common Stock Payments,-205608000.0,-5529255000.0,0.0
Net Issuance Payments Of Debt,-32224610000.0,21435763000.0,-9129670000.0
Net Short Term Debt Issuance,1866253000.0,10043398000.0,-1502323000.0
Short Term Debt Payments,0.0,0.0,-1502323000.0
Short Term Debt Issuance,1866253000.0,10043398000.0,0.0
Net Long Term Debt Issuance,-34090863000.0,11392365000.0,-7627347000.0
Long Term Debt Payments,-255098476000.0,-182081244000.0,-207614916000.0
Long Term Debt Issuance,221007613000.0,193473609000.0,199987569000.0
Investing Cash Flow,-73951874000.0,-49091569000.0,-60946303000.0
Cash Flow From Continuing Investing Activities,-73951874000.0,-49091569000.0,-60946303000.0
Net Other Investing Changes,-810518000.0,-570700000.0,-93496000.0
Net Investment Purchase And Sale,41604000.0,-1007673000.0,106679000.0
Sale Of Investment,596812000.0,813339000.0,1188806000.0
Purchase Of Investment,-555208000.0,-1821012000.0,-1082127000.0
Net Investment Properties Purchase And Sale,-114786000.0,0.0,-6352000.0
Sale Of Investment Properties,,0.0,0.0
Purchase Of Investment Properties,-114786000.0,0.0,-6352000.0
Net Business Purchase And Sale,-117589000.0,23533998000.0,-2818047000.0
Sale Of Business,0.0,23941276000.0,6113662000.0
Purchase Of Business,-117589000.0,-407278000.0,-8931709000.0
Net Intangibles Purchase And Sale,-377835000.0,-1068445000.0,-974302000.0
Sale Of Intangibles,4932000.0,1421000.0,8353000.0
Purchase Of Intangibles,-382767000.0,-1069866000.0,-982655000.0
Net PPE Purchase And Sale,-72572750000.0,-69978749000.0,-57160785000.0
Sale Of PPE,749757000.0,1883128000.0,5035015000.0
Purchase Of PPE,-73322507000.0,-71861877000.0,-62195800000.0
Operating Cash Flow,111000972000.0,81733902000.0,75060638000.0
Cash Flow From Continuing Operating Activities,111000972000.0,81733902000.0,75060638000.0
Taxes Refund Paid,-14250527000.0,-7423947000.0,-5536077000.0
Interest Received Cfo,652679000.0,527551000.0,479900000.0
Interest Paid Cfo,-3494516000.0,-2625883000.0,-3442545000.0
Dividend Received Cfo,957611000.0,655537000.0,512287000.0
Change In Working Capital,-17463562000.0,-29064776000.0,-5483132000.0
Change In Other Working Capital,,,-301838000.0
Change In Other Current Liabilities,929399000.0,3756086000.0,-3042182000.0
Change In Other Current Assets,3009297000.0,569556000.0,2540126000.0
Change In Payables And Accrued Expense,1590256000.0,19592900000.0,17633881000.0
Change In Payable,1590256000.0,19592900000.0,17633881000.0
Change In Account Payable,-5456906000.0,13654819000.0,14032779000.0
Change In Inventory,-21669101000.0,-23325588000.0,-13559192000.0
Change In Receivables,-1323413000.0,-29657730000.0,-9055765000.0
Changes In Account Receivables,754156000.0,-27957812000.0,-9396304000.0
Other Non Cash Items,3361801000.0,2181508000.0,2642869000.0
Stock Based Compensation,989843000.0,699211000.0,955575000.0
Unrealized Gain Loss On Investment Securities,-4107745000.0,1490005000.0,71848000.0
Asset Impairment Charge,2479029000.0,779430000.0,2429116000.0
Depreciation Amortization Depletion,55451889000.0,54524277000.0,51259065000.0
Depreciation And Amortization,55451889000.0,54524277000.0,51259065000.0
Amortization Cash Flow,3931079000.0,4054120000.0,3733377000.0
Amortization Of Intangibles,3931079000.0,4054120000.0,3733377000.0
Depreciation,51520810000.0,50470157000.0,47525688000.0
Operating Gains Losses,4660842000.0,-20202780000.0,-4597066000.0
Earnings Losses From Equity Investments,-1185377000.0,-899700000.0,-547612000.0
Gain Loss On Investment Securities,-278381000.0,-289852000.0,-150715000.0
Net Foreign Currency Exchange Gain Loss,6318273000.0,-1668522000.0,-2543821000.0
Gain Loss On Sale Of PPE,-113356000.0,-71770000.0,-460868000.0
Gain Loss On Sale Of Business,-80317000.0,-17272936000.0,-894050000.0
Net Income From Continuing Operations,81763628000.0,80193769000.0,35768798000.0
