,2024-04-30,2023-04-30,2022-04-30,2021-04-30,2020-04-30
Treasury Shares Number,0.0,,,,
Ordinary Shares Number,687999.0,646267.0,636545.0,566196.0,
Share Issued,687999.0,646267.0,636545.0,566196.0,
Total Debt,300714.0,,,335303.0,
Tangible Book Value,-2594185.0,3045503.0,13351511.0,2012872.0,
Invested Capital,-2293471.0,3045503.0,13351511.0,2348175.0,
Working Capital,-2770531.0,2965660.0,13248602.0,2012947.0,
Net Tangible Assets,-2594185.0,3045503.0,13351511.0,2012947.0,
Common Stock Equity,-2594185.0,3045503.0,13351511.0,2012872.0,
Preferred Stock Equity,,,,75.0,75.0
Total Capitalization,-2594185.0,3045503.0,13351511.0,2012947.0,
Total Equity Gross Minority Interest,-2594185.0,3045503.0,13351511.0,2012947.0,
Stockholders Equity,-2594185.0,3045503.0,13351511.0,2012947.0,
Other Equity Interest,,-14883295.0,-14883295.0,-14883295.0,-14983200.0
Retained Earnings,-54020408.0,-44072662.0,-29194495.0,-16832436.0,
Additional Paid In Capital,51426154.0,62001395.0,57419753.0,33721860.0,
Capital Stock,69.0,65.0,9548.0,6818.0,
Common Stock,69.0,65.0,9548.0,6743.0,
Preferred Stock,0.0,0.0,0.0,75.0,
Total Liabilities Net Minority Interest,3225773.0,2870122.0,1164932.0,899643.0,
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0,
Current Liabilities,3225773.0,2870122.0,1164932.0,899643.0,
Current Debt And Capital Lease Obligation,300714.0,,,335303.0,
Current Debt,300714.0,,,335303.0,
Other Current Borrowings,,,,335303.0,
Current Notes Payable,300714.0,0.0,,,
Payables And Accrued Expenses,2925059.0,2870122.0,1164932.0,564340.0,
Payables,2925059.0,2870122.0,1164932.0,564340.0,
Dueto Related Parties Current,,0.0,2082.0,60749.0,62667.0
Accounts Payable,2925059.0,2870122.0,1162850.0,503591.0,
Total Assets,631588.0,5915625.0,14516443.0,2912590.0,
Total Non Current Assets,176346.0,79843.0,102909.0,0.0,
Net PPE,176346.0,79843.0,102909.0,0.0,
Current Assets,455242.0,5835782.0,14413534.0,2912590.0,
Current Deferred Assets,,,,352502.0,0.0
Prepaid Assets,79194.0,694923.0,349723.0,967110.0,
Receivables,,,0.0,16210.0,194278.0
Other Receivables,,,,16210.0,16210.0
Accrued Interest Receivable,,,,0.0,77153.0
Notes Receivable,,,,0.0,100915.0
Cash Cash Equivalents And Short Term Investments,376048.0,5140859.0,14063811.0,1929270.0,
Cash And Cash Equivalents,376048.0,5140859.0,14063811.0,1929270.0,
Cash Financial,376048.0,5140859.0,14063811.0,1929270.0,
