,2024-03-31,2023-03-31,2022-03-31
Tax Effect Of Unusual Items,1581132.6,0.0,0.0
Tax Rate For Calcs,0.0978,0.3833,0.211228
Normalized EBITDA,4774000.0,4123000.0,7587000.0
Total Unusual Items,16167000.0,,
Total Unusual Items Excluding Goodwill,16167000.0,,
Net Income From Continuing Operation Net Minority Interest,15657000.0,1446000.0,4032000.0
Reconciled Depreciation,1352000.0,1172000.0,1140000.0
Reconciled Cost Of Revenue,50868000.0,39442000.0,29007000.0
EBITDA,20941000.0,4123000.0,7587000.0
EBIT,19589000.0,2951000.0,6447000.0
Net Interest Income,-187000.0,6000.0,-160000.0
Interest Expense,462000.0,185000.0,444000.0
Interest Income,275000.0,191000.0,284000.0
Normalized Income,1071132.6,1446000.0,4032000.0
Net Income From Continuing And Discontinued Operation,15657000.0,1446000.0,4032000.0
Total Expenses,69522000.0,50768000.0,34430000.0
Total Operating Income As Reported,2987000.0,2331000.0,6584000.0
Diluted Average Shares,15532382.0,11387898.0,11387898.0
Basic Average Shares,15532382.0,11387898.0,11387898.0
Diluted EPS,0.91,0.126977,0.35406
Basic EPS,0.91,0.126977,0.35406
Diluted NI Availto Com Stockholders,15657000.0,1446000.0,4032000.0
Net Income Common Stockholders,15657000.0,1446000.0,4032000.0
Net Income,15657000.0,1446000.0,4032000.0
Minority Interests,-1599000.0,-260000.0,-703000.0
Net Income Including Noncontrolling Interests,17256000.0,1706000.0,4735000.0
Net Income Continuous Operations,17256000.0,1706000.0,4735000.0
Tax Provision,1871000.0,1060000.0,1268000.0
Pretax Income,19127000.0,2766000.0,6003000.0
Other Income Expense,16327000.0,429000.0,-421000.0
Other Non Operating Income Expenses,160000.0,429000.0,-421000.0
Gain On Sale Of Security,16167000.0,,
Net Non Operating Interest Income Expense,-187000.0,6000.0,-160000.0
Interest Expense Non Operating,462000.0,185000.0,444000.0
Interest Income Non Operating,275000.0,191000.0,284000.0
Operating Income,2987000.0,2331000.0,6584000.0
Operating Expense,18654000.0,11326000.0,5423000.0
Selling General And Administration,18654000.0,11326000.0,5423000.0
Gross Profit,21641000.0,13657000.0,12007000.0
Cost Of Revenue,50868000.0,39442000.0,29007000.0
Total Revenue,72509000.0,53099000.0,41014000.0
Operating Revenue,72509000.0,53099000.0,41014000.0
