,2023-12-31,2022-12-31
Ordinary Shares Number,19505119.0,19505119.0
Share Issued,19505119.0,19505119.0
Total Debt,11693000.0,12395000.0
Tangible Book Value,-123730000.0,-77531000.0
Invested Capital,-123730000.0,-77531000.0
Working Capital,32206000.0,76463000.0
Net Tangible Assets,-123730000.0,-77531000.0
Capital Lease Obligations,11693000.0,12395000.0
Common Stock Equity,-123730000.0,-77531000.0
Total Capitalization,-123730000.0,-77531000.0
Total Equity Gross Minority Interest,-123730000.0,-77531000.0
Stockholders Equity,-123730000.0,-77531000.0
Retained Earnings,-159962000.0,-110671000.0
Additional Paid In Capital,36231000.0,33139000.0
Capital Stock,1000.0,1000.0
Common Stock,1000.0,1000.0
Total Liabilities Net Minority Interest,178676000.0,180080000.0
Total Non Current Liabilities Net Minority Interest,170869000.0,172134000.0
Other Non Current Liabilities,87000.0,-38000.0
Preferred Securities Outside Stock Equity,162147000.0,162147000.0
Long Term Debt And Capital Lease Obligation,8635000.0,10025000.0
Long Term Capital Lease Obligation,8635000.0,10025000.0
Current Liabilities,7807000.0,7946000.0
Other Current Liabilities,694000.0,259000.0
Current Debt And Capital Lease Obligation,3058000.0,2370000.0
Current Capital Lease Obligation,3058000.0,2370000.0
Pensionand Other Post Retirement Benefit Plans Current,1937000.0,1777000.0
Payables And Accrued Expenses,2118000.0,3540000.0
Current Accrued Expenses,1076000.0,1389000.0
Payables,1042000.0,2151000.0
Accounts Payable,1042000.0,2151000.0
Total Assets,54946000.0,102549000.0
Total Non Current Assets,14933000.0,18141000.0
Other Non Current Assets,1624000.0,1346000.0
Net PPE,13309000.0,16795000.0
Accumulated Depreciation,-4505000.0,-3039000.0
Gross PPE,17814000.0,19834000.0
Leases,4518000.0,4518000.0
Other Properties,11834000.0,13903000.0
Machinery Furniture Equipment,1462000.0,1413000.0
Properties,0.0,0.0
Current Assets,40013000.0,84409000.0
Other Current Assets,904000.0,383000.0
Prepaid Assets,287000.0,158000.0
Receivables,442000.0,678000.0
Taxes Receivable,442000.0,678000.0
Cash Cash Equivalents And Short Term Investments,38380000.0,83190000.0
Cash And Cash Equivalents,38380000.0,83190000.0
