,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,0.0,,
Ordinary Shares Number,62500000.0,62937500.0,62937500.0
Share Issued,62500000.0,62937500.0,62937500.0
Net Debt,3094877.0,233243.0,181859.0
Total Debt,5000000.0,233243.0,181859.0
Tangible Book Value,502674292.0,8961.0,12503.0
Invested Capital,507674292.0,242204.0,194362.0
Working Capital,2135940.0,-502434.0,-403665.0
Net Tangible Assets,502674292.0,8961.0,12503.0
Common Stock Equity,502674292.0,8961.0,12503.0
Total Capitalization,507674292.0,8961.0,12503.0
Total Equity Gross Minority Interest,502674292.0,8961.0,12503.0
Stockholders Equity,502674292.0,8961.0,12503.0
Retained Earnings,-20265310.0,-16039.0,-12497.0
Additional Paid In Capital,0.0,23750.0,23850.0
Capital Stock,522939602.0,1250.0,1150.0
Common Stock,522939602.0,1250.0,1150.0
Preferred Stock,0.0,0.0,0.0
Total Liabilities Net Minority Interest,22779133.0,503634.0,404915.0
Total Non Current Liabilities Net Minority Interest,22500000.0,0.0,0.0
Non Current Deferred Liabilities,17500000.0,0.0,
Long Term Debt And Capital Lease Obligation,5000000.0,233243.0,181859.0
Long Term Debt,5000000.0,233243.0,181859.0
Current Liabilities,279133.0,503634.0,404915.0
Current Debt And Capital Lease Obligation,,233243.0,181859.0
Current Debt,,233243.0,181859.0
Other Current Borrowings,,233243.0,181859.0
Payables And Accrued Expenses,279133.0,270391.0,223056.0
Current Accrued Expenses,271633.0,270391.0,223056.0
Payables,7500.0,,
Dueto Related Parties Current,7500.0,0.0,
Total Assets,525453425.0,512595.0,417418.0
Total Non Current Assets,523038352.0,511395.0,416168.0
Other Non Current Assets,523038352.0,,
Non Current Deferred Assets,0.0,511395.0,416168.0
Current Assets,2415073.0,1200.0,1250.0
Prepaid Assets,509950.0,1200.0,1250.0
Cash Cash Equivalents And Short Term Investments,1905123.0,0.0,
Cash And Cash Equivalents,1905123.0,0.0,
Cash Financial,1905123.0,0.0,
