,2022-12-31,2021-12-31,2020-12-31
Free Cash Flow,-42521000.0,-5747000.0,3372000.0
Repayment Of Debt,0.0,-9000.0,-429000.0
Issuance Of Debt,0.0,450000.0,254000.0
Capital Expenditure,-164000.0,-80000.0,-55000.0
End Cash Position,53808000.0,94908000.0,10901000.0
Beginning Cash Position,94908000.0,10901000.0,8018000.0
Effect Of Exchange Rate Changes,1421000.0,-50000.0,-726000.0
Changes In Cash,-42521000.0,84057000.0,3609000.0
Financing Cash Flow,0.0,89807000.0,254000.0
Cash Flow From Continuing Financing Activities,0.0,89807000.0,254000.0
Net Other Financing Charges,,89366000.0,
Net Issuance Payments Of Debt,0.0,441000.0,254000.0
Net Long Term Debt Issuance,0.0,441000.0,254000.0
Long Term Debt Payments,0.0,-9000.0,-429000.0
Long Term Debt Issuance,0.0,450000.0,254000.0
Investing Cash Flow,-164000.0,-83000.0,-72000.0
Cash Flow From Continuing Investing Activities,-164000.0,-83000.0,-72000.0
Net Investment Purchase And Sale,0.0,-3000.0,-17000.0
Purchase Of Investment,0.0,-3000.0,-17000.0
Net PPE Purchase And Sale,-164000.0,-80000.0,-55000.0
Purchase Of PPE,-164000.0,-80000.0,-55000.0
Operating Cash Flow,-42357000.0,-5667000.0,3427000.0
Cash Flow From Continuing Operating Activities,-42357000.0,-5667000.0,3427000.0
Taxes Refund Paid,-881000.0,-270000.0,-361000.0
Change In Working Capital,10534000.0,21145000.0,17113000.0
Change In Payables And Accrued Expense,14469000.0,10824000.0,13437000.0
Change In Payable,14469000.0,10824000.0,13437000.0
Change In Account Payable,14469000.0,10824000.0,13437000.0
Change In Receivables,-3935000.0,10321000.0,3676000.0
Changes In Account Receivables,-3935000.0,10321000.0,3676000.0
Other Non Cash Items,-2566000.0,45000.0,520000.0
Unrealized Gain Loss On Investment Securities,-4215000.0,3937000.0,0.0
Provisionand Write Offof Assets,3519000.0,-83000.0,-7000.0
Deferred Tax,-61000.0,0.0,0.0
Deferred Income Tax,-61000.0,0.0,0.0
Depreciation Amortization Depletion,556000.0,721000.0,931000.0
Depreciation And Amortization,556000.0,721000.0,931000.0
Operating Gains Losses,-5828000.0,35885000.0,520000.0
Net Foreign Currency Exchange Gain Loss,-5828000.0,50000.0,520000.0
Net Income From Continuing Operations,-43415000.0,-67047000.0,-14769000.0
