,2024-05-31,2023-05-31,2022-05-31,2021-05-31,2020-05-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.21,0.21,0.0,0.27,
Net Income From Continuing Operation Net Minority Interest,55315772.0,14923157.0,-12839548.0,90345793.0,
Net Interest Income,40564168.0,37426764.0,26462080.0,35011949.0,
Interest Expense,13990366.0,10797938.0,4080905.0,5092430.0,
Interest Income,54554534.0,48224702.0,30542985.0,40104379.0,
Normalized Income,55315772.0,14923157.0,-12839548.0,90345793.0,
Net Income From Continuing And Discontinued Operation,55315772.0,14923157.0,-12839548.0,90345793.0,
Diluted Average Shares,,29033379.0,28280943.0,39923019.0,39891073.0
Basic Average Shares,,29033379.0,28280943.0,39923019.0,39891073.0
Diluted EPS,,0.514,-0.454,2.263,-1.173
Basic EPS,,0.514,-0.454,2.263,-1.173
Diluted NI Availto Com Stockholders,55315772.0,14923157.0,-12839548.0,90345793.0,
Net Income Common Stockholders,55315772.0,14923157.0,-12839548.0,90345793.0,
Net Income,55315772.0,14923157.0,-12839548.0,90345793.0,
Net Income Including Noncontrolling Interests,55315772.0,14923157.0,-12839548.0,90345793.0,
Net Income Continuous Operations,55315772.0,14923157.0,-12839548.0,90345793.0,
Pretax Income,55315772.0,14923157.0,-12839548.0,90345793.0,
Gain On Sale Of Security,-20518158.0,-7612697.0,5411251.0,-23027596.0,
Operating Expense,817165.0,550695.0,607755.0,925033.0,
Other Operating Expenses,15418.0,8538.0,18726.0,19199.0,
Selling General And Administration,801747.0,542157.0,589029.0,905834.0,
General And Administrative Expense,801747.0,542157.0,589029.0,905834.0,
Total Revenue,56132937.0,15473852.0,-12231793.0,91270826.0,
Operating Revenue,56132937.0,15473852.0,-12231793.0,91270826.0,
