,2024-10-31,2023-10-31,2022-10-31,2021-10-31,2020-10-31
Ordinary Shares Number,9827294.0,9825838.0,9823566.0,9396571.0,
Share Issued,9827294.0,9825838.0,9823566.0,9396571.0,
Net Debt,48799982.0,30099880.0,25998960.0,50499978.0,
Total Debt,48800000.0,30100000.0,26000000.0,50500000.0,
Tangible Book Value,115917155.0,89579195.0,94185621.0,148696786.0,
Invested Capital,164717155.0,119679195.0,120185621.0,199196786.0,
Net Tangible Assets,115917155.0,89579195.0,94185621.0,148696786.0,
Common Stock Equity,115917155.0,89579195.0,94185621.0,148696786.0,
Total Capitalization,164717155.0,119679195.0,120185621.0,199196786.0,
Total Equity Gross Minority Interest,115917155.0,89579195.0,94185621.0,148696786.0,
Stockholders Equity,115917155.0,89579195.0,94185621.0,148696786.0,
Retained Earnings,1147540.0,-25347330.0,-23625302.0,27992695.0,
Capital Stock,114769615.0,114926525.0,117810923.0,120704091.0,
Common Stock,114769615.0,114926525.0,117810923.0,120704091.0,
Total Liabilities Net Minority Interest,63556611.0,48358802.0,44498412.0,70277775.0,
Preferred Securities Outside Stock Equity,12930728.0,16894595.0,16857599.0,16889011.0,
Derivative Product Liabilities,19084.0,36365.0,,788497.0,649695.0
Long Term Debt And Capital Lease Obligation,48800000.0,30100000.0,26000000.0,50500000.0,
Payables,1740298.0,1278974.0,1592765.0,2038321.0,
Other Payable,801929.0,458169.0,377378.0,438885.0,
Accounts Payable,938369.0,820805.0,1215387.0,1599436.0,
Total Assets,179473766.0,137937997.0,138684033.0,218974561.0,
Investments And Advances,171043168.0,132749523.0,131062463.0,213722773.0,
Investmentin Financial Assets,171043168.0,132749523.0,131062463.0,213722773.0,
Available For Sale Securities,,,,207972898.0,1286333.0
Financial Assets Designatedas Fair Value Through Profitor Loss Total,169690726.0,132425055.0,129795323.0,208213977.0,
Prepaid Assets,42763.0,57680.0,59404.0,61233.0,
Receivables,1466932.0,650170.0,2456972.0,555217.0,
Cash And Cash Equivalents,18.0,120.0,1040.0,22.0,
Cash Financial,18.0,120.0,1040.0,22.0,
Cash Cash Equivalents And Federal Funds Sold,6854402.0,4431756.0,5057146.0,4573392.0,
