,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,59241000.0,49885000.0,36227000.0
Repayment Of Debt,-12933000.0,-3801000.0,-15329000.0
End Cash Position,721000.0,590000.0,835000.0
Beginning Cash Position,590000.0,835000.0,1623000.0
Changes In Cash,131000.0,-245000.0,-788000.0
Financing Cash Flow,126914000.0,273334000.0,41088000.0
Cash Flow From Continuing Financing Activities,126914000.0,273334000.0,41088000.0
Net Other Financing Charges,139847000.0,277135000.0,56417000.0
Net Issuance Payments Of Debt,-12933000.0,-3801000.0,-15329000.0
Net Long Term Debt Issuance,-12933000.0,-3801000.0,-15329000.0
Long Term Debt Payments,-12933000.0,-3801000.0,-15329000.0
Investing Cash Flow,-186024000.0,-323464000.0,-78103000.0
Cash Flow From Continuing Investing Activities,-186024000.0,-323464000.0,-78103000.0
Net Investment Properties Purchase And Sale,-186024000.0,-323464000.0,-78103000.0
Sale Of Investment Properties,563000.0,0.0,0.0
Purchase Of Investment Properties,-186587000.0,-323464000.0,-78103000.0
Operating Cash Flow,59241000.0,49885000.0,36227000.0
Cash Flow From Continuing Operating Activities,59241000.0,49885000.0,36227000.0
Change In Working Capital,-3555000.0,-2633000.0,-38000.0
Change In Other Working Capital,-135000.0,722000.0,-228000.0
Change In Payables And Accrued Expense,-753000.0,-1582000.0,-418000.0
Change In Receivables,-2667000.0,-1773000.0,608000.0
Changes In Account Receivables,-2667000.0,-1773000.0,608000.0
Other Non Cash Items,161000.0,161000.0,176000.0
Depreciation Amortization Depletion,31993000.0,26627000.0,15004000.0
Depreciation And Amortization,31993000.0,26627000.0,15004000.0
Operating Gains Losses,-371000.0,,
Gain Loss On Investment Securities,-371000.0,,
Net Income From Continuing Operations,31013000.0,25730000.0,21085000.0
