,2023-12-31,2022-12-31
Free Cash Flow,-15477000.0,-39771000.0
Repurchase Of Capital Stock,-210000.0,-313000.0
Issuance Of Capital Stock,0.0,149866000.0
Capital Expenditure,-2761000.0,-3873000.0
Income Tax Paid Supplemental Data,2477000.0,0.0
End Cash Position,45098000.0,76088000.0
Beginning Cash Position,76088000.0,50908000.0
Changes In Cash,-30990000.0,25180000.0
Financing Cash Flow,-502000.0,151668000.0
Cash Flow From Continuing Financing Activities,-502000.0,151668000.0
Net Other Financing Charges,-1407000.0,
Proceeds From Stock Option Exercised,1115000.0,2115000.0
Net Preferred Stock Issuance,0.0,149866000.0
Preferred Stock Issuance,0.0,149866000.0
Net Common Stock Issuance,-210000.0,-313000.0
Common Stock Payments,-210000.0,-313000.0
Investing Cash Flow,-17772000.0,-90590000.0
Cash Flow From Continuing Investing Activities,-17772000.0,-90590000.0
Net Investment Purchase And Sale,-15011000.0,-86717000.0
Sale Of Investment,111214000.0,1996000.0
Purchase Of Investment,-126225000.0,-88713000.0
Net PPE Purchase And Sale,-2761000.0,-3873000.0
Purchase Of PPE,-2761000.0,-3873000.0
Operating Cash Flow,-12716000.0,-35898000.0
Cash Flow From Continuing Operating Activities,-12716000.0,-35898000.0
Change In Working Capital,-9675000.0,-9971000.0
Change In Other Current Liabilities,-1346000.0,-1320000.0
Change In Payables And Accrued Expense,-4431000.0,18076000.0
Change In Accrued Expense,-167000.0,15950000.0
Change In Payable,-4264000.0,2126000.0
Change In Account Payable,-4264000.0,2126000.0
Change In Prepaid Assets,-720000.0,-1332000.0
Change In Inventory,-5564000.0,-19358000.0
Change In Receivables,2386000.0,-6037000.0
Changes In Account Receivables,2386000.0,-6037000.0
Other Non Cash Items,1232000.0,1448000.0
Stock Based Compensation,10679000.0,30235000.0
Asset Impairment Charge,10343000.0,110000.0
Amortization Of Securities,-1624000.0,-525000.0
Depreciation Amortization Depletion,1781000.0,807000.0
Depreciation And Amortization,1781000.0,807000.0
Depreciation,1781000.0,807000.0
Operating Gains Losses,805000.0,343000.0
Gain Loss On Investment Securities,805000.0,343000.0
Net Income From Continuing Operations,-26257000.0,-58345000.0
