,2022-12-31,2021-12-31,2020-12-31
Ordinary Shares Number,64042536.0,61922999.0,32860291.0
Share Issued,64042536.0,61922999.0,32860291.0
Total Debt,72871.0,117579.0,156566.0
Tangible Book Value,51906786.0,75858829.0,12806663.0
Invested Capital,52201588.0,76238075.0,13270353.0
Working Capital,51633472.0,75575207.0,12431760.0
Net Tangible Assets,51906786.0,75858829.0,12806663.0
Capital Lease Obligations,72871.0,117579.0,156566.0
Common Stock Equity,52201588.0,76238075.0,13270353.0
Total Capitalization,52201588.0,76238075.0,13270353.0
Total Equity Gross Minority Interest,52201588.0,76238075.0,13270353.0
Stockholders Equity,52201588.0,76238075.0,13270353.0
Other Equity Interest,3517867.0,4176780.0,4460728.0
Retained Earnings,-114448510.0,-83517863.0,-51879619.0
Additional Paid In Capital,15586832.0,12660329.0,8765773.0
Capital Stock,147545399.0,142918829.0,51923471.0
Common Stock,147545399.0,142918829.0,51923471.0
Total Liabilities Net Minority Interest,9826930.0,11638053.0,2622828.0
Total Non Current Liabilities Net Minority Interest,22424.0,72871.0,104651.0
Long Term Debt And Capital Lease Obligation,22424.0,72871.0,104651.0
Long Term Capital Lease Obligation,22424.0,72871.0,104651.0
Current Liabilities,9804506.0,11565182.0,2518177.0
Other Current Liabilities,419901.0,6661122.0,
Current Debt And Capital Lease Obligation,50447.0,44708.0,51915.0
Current Capital Lease Obligation,50447.0,44708.0,51915.0
Payables And Accrued Expenses,9334158.0,4859352.0,2466262.0
Total Assets,62028518.0,87876128.0,15893181.0
Total Non Current Assets,590540.0,735739.0,943244.0
Goodwill And Other Intangible Assets,294802.0,379246.0,463690.0
Other Intangible Assets,294802.0,379246.0,463690.0
Net PPE,295738.0,356493.0,479554.0
Accumulated Depreciation,-492847.0,-357383.0,-221406.0
Gross PPE,788585.0,713876.0,700960.0
Leases,237248.0,237248.0,237248.0
Other Properties,372183.0,331089.0,323377.0
Machinery Furniture Equipment,179154.0,145539.0,140335.0
Properties,0.0,0.0,0.0
Current Assets,61437978.0,87140389.0,14949937.0
Prepaid Assets,1487913.0,2834192.0,686859.0
Inventory,,,17968.0
Receivables,480197.0,407127.0,219923.0
Other Receivables,270274.0,341388.0,214130.0
Accounts Receivable,209923.0,65739.0,5793.0
Cash Cash Equivalents And Short Term Investments,59469868.0,83899070.0,14025187.0
Cash And Cash Equivalents,59469868.0,83899070.0,14025187.0
