,2024-04-30,2023-04-30,2022-04-30,2021-04-30,2020-04-30
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,
Tax Rate For Calcs,0.235,0.24,0.229,0.231902,
Normalized EBITDA,1059398000.0,952464000.0,801241000.0,719244000.0,
Net Income From Continuing Operation Net Minority Interest,501972000.0,446691000.0,339790000.0,312900000.0,
Reconciled Depreciation,349797000.0,313131000.0,303541000.0,265195000.0,
Reconciled Cost Of Revenue,11515002000.0,12022069000.0,10189880000.0,6350754000.0,
EBITDA,1059398000.0,952464000.0,801241000.0,719244000.0,
EBIT,709601000.0,639333000.0,497700000.0,454049000.0,
Net Interest Income,-53441000.0,-51815000.0,-56972000.0,-46679000.0,
Normalized Income,501972000.0,446691000.0,339790000.0,312900000.0,
Net Income From Continuing And Discontinued Operation,501972000.0,446691000.0,339790000.0,312900000.0,
Total Expenses,14153312000.0,14455142000.0,12454894000.0,8253140000.0,
Diluted Average Shares,37370306.0,37519695.0,37356698.0,37356138.0,
Basic Average Shares,37164022.0,37266851.0,37158898.0,37092273.0,
Diluted EPS,13.43,11.91,9.1,8.38,
Basic EPS,13.51,11.99,9.14,8.44,
Diluted NI Availto Com Stockholders,501972000.0,446691000.0,339790000.0,312900000.0,
Net Income Common Stockholders,501972000.0,446691000.0,339790000.0,312900000.0,
Net Income,501972000.0,446691000.0,339790000.0,312900000.0,
Net Income Including Noncontrolling Interests,501972000.0,446691000.0,339790000.0,312900000.0,
Net Income Continuous Operations,501972000.0,446691000.0,339790000.0,312900000.0,
Tax Provision,154188000.0,140827000.0,100938000.0,94470000.0,
Pretax Income,656160000.0,587518000.0,440728000.0,407370000.0,
Net Non Operating Interest Income Expense,-53441000.0,-51815000.0,-56972000.0,-46679000.0,
Total Other Finance Cost,53441000.0,51815000.0,56972000.0,46679000.0,
Operating Income,709601000.0,639333000.0,497700000.0,454049000.0,
Operating Expense,2638310000.0,2433073000.0,2265014000.0,1902386000.0,
Other Operating Expenses,2288513000.0,2119942000.0,1961473000.0,1637191000.0,
Depreciation Amortization Depletion Income Statement,349797000.0,313131000.0,303541000.0,265195000.0,
Depreciation And Amortization In Income Statement,349797000.0,313131000.0,303541000.0,265195000.0,
Gross Profit,3347911000.0,3072406000.0,2762714000.0,2356435000.0,
Cost Of Revenue,11515002000.0,12022069000.0,10189880000.0,6350754000.0,
Total Revenue,14862913000.0,15094475000.0,12952594000.0,8707189000.0,
Excise Taxes,,,,,1063000000.0
Operating Revenue,14591065000.0,14795647000.0,12657665000.0,8636987000.0,
