,2022-12-31,2021-12-31,2020-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0
Tax Rate For Calcs,0.21,0.000893,0.27
Normalized EBITDA,-6677000.0,-16233000.0,4085000.0
Net Income From Continuing Operation Net Minority Interest,-18645000.0,-29091000.0,-13196000.0
Reconciled Depreciation,11830000.0,12863000.0,17174000.0
Reconciled Cost Of Revenue,58376000.0,12863000.0,17174000.0
EBITDA,-6677000.0,-16233000.0,4085000.0
EBIT,-18507000.0,-29096000.0,-13089000.0
Net Interest Income,286000.0,199000.0,319000.0
Interest Expense,31000.0,21000.0,83000.0
Interest Income,317000.0,220000.0,402000.0
Normalized Income,-18645000.0,-29091000.0,-13196000.0
Net Income From Continuing And Discontinued Operation,-18645000.0,-29091000.0,-13196000.0
Total Expenses,73831000.0,53925000.0,100092000.0
Total Operating Income As Reported,-22201000.0,-29230000.0,-13992000.0
Diluted Average Shares,23782796.0,23570455.0,23382433.0
Basic Average Shares,23782796.0,23570455.0,23382433.0
Diluted EPS,-0.86,-1.23,-0.56
Basic EPS,-0.86,-1.23,-0.56
Diluted NI Availto Com Stockholders,-18645000.0,-29091000.0,-13196000.0
Net Income Common Stockholders,-18645000.0,-29091000.0,-13196000.0
Net Income,-18645000.0,-29091000.0,-13196000.0
Net Income Including Noncontrolling Interests,-18645000.0,-29091000.0,-13196000.0
Net Income Continuous Operations,-18645000.0,-29091000.0,-13196000.0
Tax Provision,107000.0,-26000.0,24000.0
Pretax Income,-18538000.0,-29117000.0,-13172000.0
Other Income Expense,3377000.0,-86000.0,501000.0
Other Non Operating Income Expenses,3377000.0,-86000.0,501000.0
Net Non Operating Interest Income Expense,286000.0,199000.0,319000.0
Interest Expense Non Operating,31000.0,21000.0,83000.0
Interest Income Non Operating,317000.0,220000.0,402000.0
Operating Income,-22201000.0,-29230000.0,-13992000.0
Operating Expense,15455000.0,41062000.0,82918000.0
Other Operating Expenses,37910000.0,29016000.0,68998000.0
Selling General And Administration,15455000.0,12046000.0,13920000.0
General And Administrative Expense,15455000.0,12046000.0,13920000.0
Other Gand A,15455000.0,12046000.0,13920000.0
Gross Profit,-6746000.0,11832000.0,68926000.0
Cost Of Revenue,58376000.0,12863000.0,17174000.0
Total Revenue,51630000.0,24695000.0,86100000.0
Operating Revenue,51630000.0,24695000.0,86100000.0
