,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.21,0.0
Normalized EBITDA,-1351603.0,-977699.0
Net Income From Continuing Operation Net Minority Interest,1915114.0,-352037.0
EBITDA,-1351603.0,-977699.0
EBIT,-1351603.0,-977699.0
Net Interest Income,3266717.0,625662.0
Interest Income,3266717.0,625662.0
Normalized Income,1915114.0,-352037.0
Net Income From Continuing And Discontinued Operation,1915114.0,-352037.0
Total Expenses,1351603.0,977699.0
Total Operating Income As Reported,-1351603.0,-977699.0
Diluted NI Availto Com Stockholders,1915114.0,-352037.0
Net Income Common Stockholders,1915114.0,-352037.0
Net Income,1915114.0,-352037.0
Net Income Including Noncontrolling Interests,1915114.0,-352037.0
Net Income Continuous Operations,1915114.0,-352037.0
Pretax Income,1915114.0,-352037.0
Net Non Operating Interest Income Expense,3266717.0,625662.0
Interest Income Non Operating,3266717.0,625662.0
Operating Income,-1351603.0,-977699.0
Operating Expense,1351603.0,977699.0
Other Operating Expenses,1351603.0,977699.0
Total Revenue,0.0,0.0
Operating Revenue,0.0,0.0
