,2023-12-31,2022-12-31,2021-12-31
Free Cash Flow,-2923000.0,-611000.0,-2830000.0
Repayment Of Debt,-77000.0,-80000.0,-236000.0
Issuance Of Debt,1699000.0,0.0,1077000.0
Issuance Of Capital Stock,827000.0,34000.0,3413000.0
End Cash Position,88000.0,36000.0,775000.0
Beginning Cash Position,36000.0,776000.0,72000.0
Effect Of Exchange Rate Changes,-1000.0,-82000.0,-2000.0
Changes In Cash,53000.0,-658000.0,705000.0
Financing Cash Flow,2976000.0,-47000.0,4519000.0
Cash Flow From Continuing Financing Activities,2974000.0,-46000.0,4519000.0
Net Other Financing Charges,501000.0,-1000.0,
Proceeds From Stock Option Exercised,26000.0,0.0,265000.0
Net Common Stock Issuance,827000.0,34000.0,3413000.0
Common Stock Issuance,827000.0,34000.0,3413000.0
Net Issuance Payments Of Debt,1622000.0,-80000.0,841000.0
Net Short Term Debt Issuance,1173000.0,0.0,1077000.0
Short Term Debt Issuance,1173000.0,0.0,1077000.0
Net Long Term Debt Issuance,449000.0,-80000.0,-236000.0
Long Term Debt Payments,-77000.0,-80000.0,-236000.0
Long Term Debt Issuance,526000.0,,
Investing Cash Flow,0.0,0.0,-984000.0
Cash Flow From Continuing Investing Activities,0.0,0.0,-984000.0
Net Investment Purchase And Sale,0.0,0.0,-984000.0
Purchase Of Investment,0.0,0.0,-984000.0
Operating Cash Flow,-2923000.0,-611000.0,-2830000.0
Cash Flow From Continuing Operating Activities,-2898000.0,-610000.0,-2831000.0
Taxes Refund Paid,0.0,0.0,0.0
Interest Paid Cfo,-28000.0,-214000.0,-455000.0
Change In Working Capital,5308000.0,4076000.0,3915000.0
Change In Other Working Capital,2532000.0,3185000.0,2995000.0
Change In Other Current Assets,-406000.0,150000.0,-141000.0
Change In Payables And Accrued Expense,3182000.0,741000.0,1061000.0
Change In Payable,3182000.0,741000.0,1061000.0
Change In Account Payable,,741000.0,1061000.0
Other Non Cash Items,-7437000.0,23483000.0,-462000.0
Stock Based Compensation,3381000.0,2772000.0,0.0
Depreciation Amortization Depletion,0.0,144000.0,39000.0
Depreciation And Amortization,0.0,144000.0,39000.0
Depreciation,0.0,144000.0,39000.0
Net Income From Continuing Operations,-4147000.0,-30872000.0,-5867000.0
