,2023-12-31,2022-12-31
Tax Effect Of Unusual Items,0.0,0.0
Tax Rate For Calcs,0.190262,0.185182
Net Income From Continuing Operation Net Minority Interest,8831000.0,8281000.0
Reconciled Depreciation,491000.0,501000.0
Net Interest Income,27743000.0,26101000.0
Interest Expense,4046000.0,1283000.0
Interest Income,31789000.0,27384000.0
Normalized Income,8831000.0,8281000.0
Net Income From Continuing And Discontinued Operation,8831000.0,8281000.0
Diluted Average Shares,6418920.0,6418920.0
Basic Average Shares,6418920.0,6418920.0
Diluted EPS,1.375777,1.290092
Basic EPS,1.375777,1.290092
Diluted NI Availto Com Stockholders,8831000.0,8281000.0
Net Income Common Stockholders,8831000.0,8281000.0
Net Income,8831000.0,8281000.0
Net Income Including Noncontrolling Interests,8831000.0,8281000.0
Net Income Continuous Operations,8831000.0,8281000.0
Tax Provision,2075000.0,1882000.0
Pretax Income,10906000.0,10163000.0
Gain On Sale Of Security,-389000.0,0.0
Selling General And Administration,13775000.0,12707000.0
Selling And Marketing Expense,239000.0,189000.0
General And Administrative Expense,13536000.0,12518000.0
Insurance And Claims,810000.0,974000.0
Salaries And Wages,12726000.0,11544000.0
Total Revenue,31024000.0,29211000.0
Operating Revenue,31024000.0,29211000.0
Occupancy And Equipment,936000.0,932000.0
Professional Expense And Contract Services Expense,909000.0,1367000.0
Other Non Interest Expense,3857000.0,3220000.0
