,2024-06-30,2023-06-30,2022-06-30,2021-06-30,2020-06-30
Ordinary Shares Number,25933217.0,25633217.0,23344567.0,23344567.0,
Share Issued,25933217.0,25633217.0,23344567.0,23344567.0,
Total Debt,,,,,201286.0
Tangible Book Value,3812531.0,10601350.0,15066900.0,21411858.0,
Invested Capital,3812531.0,10601350.0,15066900.0,21411858.0,
Working Capital,3247407.0,10601350.0,15066900.0,21411858.0,
Net Tangible Assets,3812531.0,10601350.0,15066900.0,21411858.0,
Common Stock Equity,3812531.0,10601350.0,15066900.0,21411858.0,
Total Capitalization,3812531.0,10601350.0,15066900.0,21411858.0,
Total Equity Gross Minority Interest,3812531.0,10601350.0,15066900.0,21411858.0,
Stockholders Equity,3812531.0,10601350.0,15066900.0,21411858.0,
Retained Earnings,-65403744.0,-57202041.0,-45469703.0,-38644084.0,
Additional Paid In Capital,69190341.0,67777757.0,60513258.0,60032597.0,
Capital Stock,25934.0,25634.0,23345.0,23345.0,
Common Stock,25934.0,25634.0,23345.0,23345.0,
Preferred Stock,0.0,0.0,0.0,,
Total Liabilities Net Minority Interest,260583.0,1068801.0,512531.0,241633.0,
Total Non Current Liabilities Net Minority Interest,0.0,0.0,0.0,0.0,
Preferred Securities Outside Stock Equity,,,,0.0,2975752.0
Current Liabilities,260583.0,1068801.0,512531.0,241633.0,
Current Debt And Capital Lease Obligation,,,,,201286.0
Current Debt,,,,,201286.0
Current Notes Payable,,,,0.0,201286.0
Payables And Accrued Expenses,260583.0,1068801.0,512531.0,241633.0,
Current Accrued Expenses,104157.0,534256.0,131703.0,131585.0,
Payables,156426.0,534545.0,380828.0,110048.0,
Accounts Payable,156426.0,534545.0,380828.0,110048.0,
Total Assets,4073114.0,11670151.0,15579431.0,21653491.0,
Total Non Current Assets,565124.0,0.0,0.0,0.0,
Other Non Current Assets,565124.0,,,,
Current Assets,3507990.0,11670151.0,15579431.0,21653491.0,
Prepaid Assets,413790.0,422748.0,1030960.0,1667846.0,
Receivables,,,,0.0,3500.0
Duefrom Related Parties Current,,,,0.0,3500.0
Cash Cash Equivalents And Short Term Investments,3094200.0,11247403.0,14548471.0,19985645.0,
Cash And Cash Equivalents,3094200.0,11247403.0,14548471.0,19985645.0,
Cash Financial,,11247403.0,14548471.0,19985645.0,3024980.0
