Symbol,Annual Volatility,Sharpe Ratio,Max Drawdown
AOUT,0.5007546534911017,0.16813994770859686,-1.4886597552478416
AUTL,0.8099780790617919,-0.08565020220798389,-1.7705230007742272
ALKS,0.6254787460219448,0.38983200247449834,-17.540930237880914
BAR,0.1413831460324373,0.7083031407846943,-0.32848731250019303
BBWI,0.4374266873094087,0.42168449430577826,-84.4731839495704
CREV,1.8950931149755526,-0.581195232170234,-1.0137346179770954
CVEO,0.7157408571664953,0.05231537742559629,-1.2473807087626758
AREC,7.746845019681905,0.42008909136415257,-13.576000005006794
ASGI,0.1712561185267434,0.4290032189429572,-0.2931360519150532
CTRM,1.0913174544704176,-0.32782680459642305,-2.004693069080315
ALBT,1.759454996246392,0.18316861313064794,-5.311468926526734
CR,0.32235124043928903,1.5645024749704344,-0.4705873149581761
BBSI,0.5640017419974994,0.5191209283590376,-34.34517058415909
DAVE,1.021584149033505,0.19003892549564955,-1.4157968938350667
ACCS,1.8374459220282262,0.7119236776743082,-3.7537001698410206
CSR,0.5269921710439306,0.29316082928530895,-5.933378979521243
APLMW,1.6740823634441349,0.31300108090934653,-1.064394006741646
BACK,4.386235724467007,0.26803512302950283,-1.8590247994713809
BAX,0.28016080960726625,0.35993920803744595,-40.214019123368196
BDTX,1.32718459159395,-0.0015630307929417316,-1.1455262962140527
BBD,0.46392268112171153,0.3712200444175207,-14.272345398982754
CUBB,0.31920359081142696,0.18618964222917953,-0.5346491922554494
ADM,0.30977667056284586,0.4017654583706126,-49.045688714319425
DDT,0.28628131356010694,0.40657106904095913,-3.084634157238979
APRE,7.131192618739795,0.35350510833930143,-2.5960303917774916
ALGS,1.007937050184465,-0.09753633305634828,-2.3485365857276803
DCOM,0.34545400968280787,0.3289608716462367,-3.1457996976051574
ARQQW,0.24863771420033356,-0.6721733399295036,-0.39344262935819874
BE,0.9360942660509303,0.4709842857236538,-1.6216088163263205
DIBS,0.6555123730211471,-0.43687307690570876,-1.3027789499282636
DESP,0.5468445161664058,0.13492305199612573,-0.9516860677336357
